date,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,CSI
2004-01-01,97.0,61.72839506172839,80.0,100.0,55.4054054054054,29.67032967032967,94.0,86.0,97.0,63.0,46.15384615384615,83.0,83.15789473684211,80.0,25.0,72.07439140187678
2004-02-01,96.0,69.1358024691358,79.0,98.0,63.51351351351351,31.868131868131865,87.0,86.0,100.0,68.0,44.61538461538462,100.0,88.42105263157895,100.0,21.0,75.50359233984963
2004-03-01,97.0,76.5432098765432,82.0,87.0,74.32432432432432,35.16483516483517,86.0,92.0,98.0,100.0,67.6923076923077,97.0,92.63157894736842,100.0,44.0,81.95708373369192
2004-04-01,100.0,71.60493827160494,91.0,91.0,71.62162162162163,47.25274725274725,100.0,100.0,92.0,95.0,63.07692307692307,87.0,95.78947368421052,100.0,100.0,87.0230469271405
2004-05-01,98.0,74.07407407407408,83.0,86.0,71.62162162162163,46.15384615384615,91.0,90.0,92.0,81.0,63.07692307692307,79.0,100.0,100.0,66.0,81.39509766176432
2004-06-01,94.0,55.55555555555556,65.0,83.0,59.45945945945946,32.967032967032964,84.0,78.0,86.0,63.0,58.46153846153847,68.0,66.3157894736842,80.0,32.0,67.05062506115138
2004-07-01,95.0,51.85185185185185,54.0,88.0,48.64864864864865,26.373626373626376,80.0,68.0,92.0,56.00000000000001,52.307692307692314,68.0,51.578947368421055,60.0,21.0,60.85071777001601
2004-08-01,93.0,50.617283950617285,56.00000000000001,82.0,44.5945945945946,29.67032967032967,74.0,72.0,83.0,56.00000000000001,53.84615384615385,71.0,56.84210526315789,60.0,18.0,60.03803115499022
2004-09-01,96.0,60.49382716049383,97.0,82.0,51.35135135135135,40.65934065934066,81.0,88.0,84.0,85.0,72.3076923076923,64.0,77.89473684210526,60.0,20.0,70.64712988806556
2004-10-01,97.0,58.0246913580247,91.0,86.0,55.4054054054054,35.16483516483517,80.0,70.0,81.0,80.0,58.46153846153847,70.0,87.36842105263159,80.0,27.0,70.42832609616235
2004-11-01,89.0,69.1358024691358,87.0,86.0,54.054054054054056,38.46153846153847,82.0,72.0,76.0,75.0,58.46153846153847,64.0,84.21052631578947,80.0,32.0,69.82156398413709
2004-12-01,97.0,62.96296296296296,73.0,86.0,45.94594594594595,37.362637362637365,75.0,78.0,70.0,57.99999999999999,41.53846153846154,63.0,75.78947368421053,60.0,15.0,62.57329876628122
2005-01-01,89.0,60.49382716049383,63.0,88.0,47.2972972972973,36.26373626373626,74.0,62.0,73.0,47.0,41.53846153846154,57.99999999999999,73.68421052631578,60.0,12.0,59.01850218575364
2005-02-01,90.0,59.25925925925925,72.0,82.0,50.0,34.065934065934066,77.0,74.0,70.0,56.00000000000001,53.84615384615385,60.0,83.15789473684211,80.0,12.0,63.555282793879286
2005-03-01,85.0,58.0246913580247,74.0,83.0,56.75675675675676,36.26373626373626,75.0,64.0,75.0,52.0,44.61538461538462,59.0,81.05263157894737,60.0,12.0,61.04754670485666
2005-04-01,82.0,59.25925925925925,77.0,82.0,60.810810810810814,34.065934065934066,74.0,80.0,67.0,60.0,38.46153846153847,65.0,89.47368421052632,60.0,12.0,62.7380817872046
2005-05-01,92.0,64.19753086419753,72.0,81.0,64.86486486486487,35.16483516483517,74.0,80.0,71.0,52.0,36.92307692307693,54.0,96.84210526315789,60.0,11.0,62.99949420534215
2005-06-01,83.0,50.617283950617285,56.99999999999999,77.0,51.35135135135135,30.76923076923077,71.0,62.0,71.0,39.0,32.30769230769231,51.0,76.84210526315789,60.0,9.0,54.79251090946998
2005-07-01,85.0,100.0,51.0,84.0,45.94594594594595,32.967032967032964,74.0,50.0,69.0,70.0,100.0,62.0,65.26315789473685,60.0,9.0,63.878409120514384
2005-08-01,89.0,61.72839506172839,53.0,80.0,52.702702702702695,34.065934065934066,71.0,52.0,60.0,47.0,40.0,55.00000000000001,55.78947368421052,40.0,8.0,53.285767034305046
2005-09-01,98.0,50.617283950617285,60.0,83.0,72.97297297297297,29.67032967032967,72.0,50.0,59.0,49.0,40.0,54.0,65.26315789473685,60.0,9.0,56.83491629924379
2005-10-01,88.0,56.79012345679012,75.0,82.0,81.08108108108108,30.76923076923077,75.0,50.0,61.0,56.00000000000001,40.0,66.0,69.47368421052632,60.0,10.0,60.07427463450856
2005-11-01,92.0,53.086419753086425,71.0,80.0,70.27027027027027,34.065934065934066,80.0,52.0,55.00000000000001,63.0,43.07692307692308,55.00000000000001,74.73684210526315,60.0,10.0,59.54909261809847
2005-12-01,89.0,50.617283950617285,56.99999999999999,77.0,78.37837837837837,31.868131868131865,96.0,66.0,55.00000000000001,44.0,36.92307692307693,50.0,66.3157894736842,60.0,9.0,57.806844039592576
2006-01-01,86.0,49.382716049382715,57.99999999999999,74.0,78.37837837837837,100.0,75.0,54.0,59.0,36.0,33.84615384615385,47.0,70.52631578947368,60.0,9.0,59.3422376042259
2006-02-01,82.0,56.79012345679012,65.0,74.0,79.72972972972973,34.065934065934066,73.0,56.00000000000001,59.0,45.0,35.38461538461539,52.0,73.68421052631578,60.0,9.0,56.976974210892344
2006-03-01,79.0,55.55555555555556,62.0,69.0,89.1891891891892,32.967032967032964,66.0,52.0,57.99999999999999,49.0,33.84615384615385,55.00000000000001,76.84210526315789,60.0,9.0,56.49333578807263
2006-04-01,80.0,54.32098765432099,65.0,68.0,83.78378378378379,35.16483516483517,67.0,68.0,56.00000000000001,43.0,30.76923076923077,50.0,70.52631578947368,60.0,9.0,56.03767687744296
2006-05-01,78.0,54.32098765432099,61.0,67.0,100.0,34.065934065934066,65.0,68.0,52.0,45.0,30.76923076923077,47.0,75.78947368421053,60.0,9.0,56.463041744913085
2006-06-01,75.0,49.382716049382715,49.0,66.0,72.97297297297297,32.967032967032964,60.0,56.00000000000001,50.0,34.0,35.38461538461539,38.0,53.68421052631579,40.0,7.000000000000001,47.959436526687995
2006-07-01,78.0,49.382716049382715,52.0,65.0,67.56756756756756,31.868131868131865,62.0,90.0,48.0,28.999999999999996,36.92307692307693,41.0,53.68421052631579,40.0,7.000000000000001,50.095046862298325
2006-08-01,78.0,50.617283950617285,50.0,68.0,75.67567567567568,31.868131868131865,66.0,54.0,42.0,40.0,56.92307692307692,61.0,50.526315789473685,40.0,7.000000000000001,51.440698947131686
2006-09-01,79.0,46.913580246913575,53.0,68.0,82.43243243243244,42.857142857142854,60.0,48.0,42.0,51.0,43.07692307692308,55.00000000000001,57.89473684210527,40.0,7.000000000000001,51.74498769703448
2006-10-01,78.0,51.85185185185185,56.99999999999999,78.0,64.86486486486487,32.967032967032964,62.0,48.0,46.0,44.0,32.30769230769231,59.0,66.3157894736842,40.0,8.0,51.22048209767508
2006-11-01,75.0,44.44444444444444,57.99999999999999,65.0,63.51351351351351,32.967032967032964,64.0,54.0,40.0,43.0,27.692307692307693,54.0,77.89473684210526,40.0,7.000000000000001,49.76746903062693
2006-12-01,74.0,44.44444444444444,52.0,73.0,60.810810810810814,30.76923076923077,56.99999999999999,54.0,32.0,33.0,27.692307692307693,57.99999999999999,69.47368421052632,40.0,7.000000000000001,47.54603186182134
2007-01-01,68.0,46.913580246913575,52.0,66.0,62.16216216216216,32.967032967032964,59.0,54.0,39.0,28.999999999999996,23.076923076923077,47.0,63.1578947368421,40.0,7.000000000000001,45.95183954599159
2007-02-01,70.0,60.49382716049383,54.0,63.0,60.810810810810814,29.67032967032967,56.00000000000001,54.0,34.0,31.0,24.615384615384617,52.0,66.3157894736842,40.0,7.000000000000001,46.86040944871354
2007-03-01,70.0,55.55555555555556,55.00000000000001,62.0,63.51351351351351,29.67032967032967,55.00000000000001,57.99999999999999,35.0,33.0,24.615384615384617,53.0,68.42105263157895,40.0,7.000000000000001,47.31838906575749
2007-04-01,73.0,58.0246913580247,61.0,63.0,63.51351351351351,34.065934065934066,56.00000000000001,54.0,34.0,36.0,24.615384615384617,71.0,71.57894736842105,40.0,7.000000000000001,49.786564728085196
2007-05-01,66.0,56.79012345679012,57.99999999999999,66.0,67.56756756756756,36.26373626373626,56.00000000000001,57.99999999999999,36.0,34.0,27.692307692307693,60.0,71.57894736842105,40.0,7.000000000000001,49.39284548992152
2007-06-01,67.0,53.086419753086425,51.0,69.0,66.21621621621621,32.967032967032964,52.0,57.99999999999999,37.0,25.0,24.615384615384617,57.99999999999999,54.736842105263165,40.0,6.0,46.308126377132226
2007-07-01,72.0,54.32098765432099,64.0,65.0,66.21621621621621,38.46153846153847,55.00000000000001,42.0,38.0,28.999999999999996,30.76923076923077,61.0,49.473684210526315,40.0,6.0,47.41611048745551
2007-08-01,74.0,46.913580246913575,62.0,67.0,87.83783783783784,32.967032967032964,54.0,40.0,32.0,25.0,23.076923076923077,56.99999999999999,47.368421052631575,40.0,6.0,46.344253012089276
2007-09-01,69.0,56.79012345679012,100.0,83.0,68.91891891891892,30.76923076923077,50.0,44.0,33.0,31.0,27.692307692307693,65.0,58.94736842105262,40.0,6.0,50.94119661722001
2007-10-01,71.0,45.67901234567901,95.0,75.0,78.37837837837837,30.76923076923077,53.0,48.0,31.0,34.0,32.30769230769231,56.99999999999999,58.94736842105262,40.0,7.000000000000001,50.47211214813554
2007-11-01,70.0,46.913580246913575,76.0,66.0,71.62162162162163,34.065934065934066,53.0,46.0,30.0,35.0,49.23076923076923,60.0,63.1578947368421,80.0,7.000000000000001,52.53265332680538
2007-12-01,71.0,49.382716049382715,68.0,63.0,75.67567567567568,35.16483516483517,50.0,56.00000000000001,30.0,27.0,47.69230769230769,49.0,65.26315789473685,60.0,7.000000000000001,50.27857949846255
2008-01-01,70.0,45.67901234567901,65.0,59.0,74.32432432432432,35.16483516483517,52.0,46.0,28.000000000000004,26.0,43.07692307692308,47.0,60.0,60.0,6.0,47.81633966078411
2008-02-01,69.0,48.148148148148145,74.0,56.99999999999999,70.27027027027027,35.16483516483517,52.0,62.0,30.0,27.0,41.53846153846154,54.0,62.10526315789474,60.0,7.000000000000001,49.94846521864065
2008-03-01,82.0,49.382716049382715,67.0,59.0,72.97297297297297,34.065934065934066,52.0,52.0,30.0,28.000000000000004,40.0,66.0,65.26315789473685,60.0,7.000000000000001,50.97898539886844
2008-04-01,66.0,46.913580246913575,64.0,52.0,71.62162162162163,32.967032967032964,52.0,52.0,27.0,30.0,36.92307692307693,63.0,66.3157894736842,60.0,7.000000000000001,48.51607341548861
2008-05-01,66.0,49.382716049382715,57.99999999999999,48.0,71.62162162162163,35.16483516483517,49.0,56.00000000000001,27.0,30.0,38.46153846153847,51.0,64.21052631578948,40.0,7.000000000000001,46.056082507544495
2008-06-01,69.0,44.44444444444444,49.0,51.0,62.16216216216216,31.868131868131865,47.0,46.0,28.000000000000004,21.0,38.46153846153847,48.0,53.68421052631579,40.0,6.0,42.37469916417285
2008-07-01,68.0,53.086419753086425,47.0,48.0,64.86486486486487,31.868131868131865,50.0,50.0,33.0,18.0,41.53846153846154,45.0,50.526315789473685,40.0,6.0,43.12561292093456
2008-08-01,69.0,44.44444444444444,57.99999999999999,48.0,60.810810810810814,30.76923076923077,50.0,46.0,25.0,19.0,38.46153846153847,45.0,52.63157894736842,40.0,6.0,42.20784022889286
2008-09-01,67.0,50.617283950617285,55.00000000000001,44.0,58.108108108108105,30.76923076923077,50.0,46.0,25.0,27.0,41.53846153846154,45.0,55.78947368421052,40.0,6.0,42.78817053670855
2008-10-01,68.0,48.148148148148145,62.0,60.0,62.16216216216216,34.065934065934066,49.0,52.0,24.0,30.0,53.84615384615385,51.0,63.1578947368421,60.0,7.000000000000001,48.292019530616024
2008-11-01,66.0,49.382716049382715,60.0,53.0,59.45945945945946,36.26373626373626,50.0,52.0,22.0,33.0,66.15384615384615,47.0,82.10526315789474,80.0,8.0,50.95766807228795
2008-12-01,68.0,54.32098765432099,53.0,62.0,56.75675675675676,34.065934065934066,48.0,52.0,22.0,36.0,61.53846153846154,44.0,72.63157894736842,80.0,7.000000000000001,50.08758126418945
2009-01-01,67.0,50.617283950617285,62.0,59.0,58.108108108108105,35.16483516483517,51.0,48.0,24.0,28.999999999999996,40.0,44.0,69.47368421052632,80.0,7.000000000000001,48.29092742893912
2009-02-01,67.0,49.382716049382715,56.99999999999999,52.0,56.75675675675676,35.16483516483517,50.0,46.0,24.0,27.0,33.84615384615385,45.0,69.47368421052632,100.0,7.000000000000001,47.97494306851032
2009-03-01,70.0,51.85185185185185,59.0,54.0,66.21621621621621,37.362637362637365,52.0,54.0,23.0,28.000000000000004,33.84615384615385,52.0,73.68421052631578,120.0,8.0,52.197404653545
2009-04-01,67.0,50.617283950617285,56.00000000000001,66.0,62.16216216216216,38.46153846153847,50.0,66.0,23.0,30.0,35.38461538461539,48.0,63.1578947368421,140.0,8.0,53.58556631305169
2009-05-01,68.0,54.32098765432099,55.00000000000001,78.0,68.91891891891892,32.967032967032964,49.0,57.99999999999999,24.0,27.0,32.30769230769231,45.0,68.42105263157895,240.0,8.0,60.59571229863627
2009-06-01,68.0,49.382716049382715,46.0,68.0,55.4054054054054,35.16483516483517,45.0,57.99999999999999,22.0,22.0,27.692307692307693,43.0,55.78947368421052,200.0,7.000000000000001,53.495649199742765
2009-07-01,66.0,49.382716049382715,40.0,70.0,52.702702702702695,37.362637362637365,47.0,46.0,23.0,18.0,27.692307692307693,38.0,50.526315789473685,240.0,7.000000000000001,54.17777863976694
2009-08-01,70.0,51.85185185185185,42.0,62.0,54.054054054054056,36.26373626373626,51.0,38.0,21.0,19.0,29.230769230769234,42.0,51.578947368421055,260.0,7.000000000000001,55.66529058458884
2009-09-01,63.0,50.617283950617285,50.0,54.0,52.702702702702695,36.26373626373626,49.0,50.0,20.0,23.0,35.38461538461539,44.0,54.736842105263165,320.0,7.000000000000001,60.64701202712898
2009-10-01,66.0,54.32098765432099,52.0,53.0,51.35135135135135,39.56043956043956,49.0,52.0,20.0,25.0,32.30769230769231,43.0,54.736842105263165,480.0,8.0,72.01848753193782
2009-11-01,70.0,54.32098765432099,56.00000000000001,54.0,56.75675675675676,43.956043956043956,51.0,46.0,31.0,28.000000000000004,36.92307692307693,43.0,58.94736842105262,2000.0,9.0,175.92694891408343
2009-12-01,69.0,60.49382716049383,47.0,57.99999999999999,52.702702702702695,36.26373626373626,47.0,52.0,31.0,24.0,44.61538461538462,40.0,60.0,1160.0,8.0,119.3383767161545
2010-01-01,69.0,58.0246913580247,46.0,54.0,50.0,36.26373626373626,50.0,46.0,33.0,26.0,40.0,46.0,56.84210526315789,940.0,8.0,103.94203552566127
2010-02-01,65.0,55.55555555555556,48.0,50.0,48.64864864864865,51.64835164835166,48.0,52.0,35.0,26.0,33.84615384615385,50.0,61.05263157894737,740.0,8.0,91.51675608517714
2010-03-01,66.0,64.19753086419753,51.0,46.0,52.702702702702695,36.26373626373626,48.0,48.0,32.0,26.0,27.692307692307693,46.0,68.42105263157895,660.0,8.0,85.35182201030153
2010-04-01,64.0,59.25925925925925,50.0,46.0,55.4054054054054,37.362637362637365,46.0,52.0,34.0,25.0,29.230769230769234,48.0,66.3157894736842,540.0,8.0,77.37159071545035
2010-05-01,64.0,72.8395061728395,50.0,48.0,58.108108108108105,39.56043956043956,47.0,54.0,32.0,28.000000000000004,36.92307692307693,47.0,64.21052631578948,500.0,9.0,76.70944380535023
2010-06-01,64.0,58.0246913580247,44.0,41.0,47.2972972972973,38.46153846153847,46.0,42.0,32.0,19.0,26.153846153846157,37.0,55.78947368421052,440.00000000000006,7.000000000000001,66.51512313032781
2010-07-01,62.0,59.25925925925925,37.0,42.0,43.24324324324324,37.362637362637365,45.0,38.0,28.000000000000004,16.0,23.076923076923077,36.0,51.578947368421055,380.0,7.000000000000001,60.36806735403227
2010-08-01,68.0,56.79012345679012,38.0,44.0,43.24324324324324,42.857142857142854,46.0,40.0,27.0,18.0,29.230769230769234,36.0,51.578947368421055,360.0,7.000000000000001,60.513348410424435
2010-09-01,61.0,54.32098765432099,43.0,41.0,47.2972972972973,38.46153846153847,45.0,42.0,27.0,22.0,29.230769230769234,42.0,52.63157894736842,320.0,7.000000000000001,58.12947810608629
2010-10-01,62.0,53.086419753086425,46.0,44.0,51.35135135135135,40.65934065934066,48.0,40.0,25.0,23.0,30.76923076923077,50.0,52.63157894736842,300.0,8.0,58.299861432025175
2010-11-01,63.0,58.0246913580247,48.0,40.0,55.4054054054054,42.857142857142854,49.0,90.0,26.0,24.0,29.230769230769234,47.0,54.736842105263165,300.0,9.0,62.41699006377369
2010-12-01,65.0,59.25925925925925,39.0,41.0,44.5945945945946,47.25274725274725,47.0,46.0,24.0,19.0,29.230769230769234,36.0,56.84210526315789,260.0,7.000000000000001,54.74529837336855
2011-01-01,63.0,56.79012345679012,40.0,41.0,44.5945945945946,57.14285714285714,46.0,42.0,24.0,20.0,23.076923076923077,40.0,55.78947368421052,260.0,7.000000000000001,54.6929314636917
2011-02-01,59.0,51.85185185185185,45.0,37.0,43.24324324324324,39.56043956043956,43.0,42.0,22.0,19.0,23.076923076923077,47.0,51.578947368421055,240.0,7.000000000000001,51.35409367339192
2011-03-01,63.0,61.72839506172839,49.0,39.0,74.32432432432432,39.56043956043956,47.0,68.0,31.0,20.0,23.076923076923077,50.0,55.78947368421052,240.0,7.000000000000001,57.89863704717506
2011-04-01,61.0,56.79012345679012,46.0,42.0,75.67567567567568,41.75824175824176,49.0,50.0,25.0,21.0,24.615384615384617,42.0,58.94736842105262,240.0,7.000000000000001,56.05245292847632
2011-05-01,61.0,59.25925925925925,46.0,42.0,54.054054054054056,73.62637362637363,45.0,46.0,23.0,28.000000000000004,36.92307692307693,48.0,54.736842105263165,380.0,6.0,66.90664039786846
2011-06-01,61.0,51.85185185185185,38.0,40.0,51.35135135135135,42.857142857142854,44.0,46.0,25.0,17.0,21.53846153846154,35.0,49.473684210526315,320.0,6.0,56.60483278728893
2011-07-01,60.0,59.25925925925925,34.0,41.0,50.0,45.05494505494506,41.0,36.0,22.0,18.0,29.230769230769234,34.0,46.31578947368421,300.0,6.0,54.79071753457718
2011-08-01,61.0,54.32098765432099,36.0,38.0,47.2972972972973,46.15384615384615,44.0,38.0,22.0,16.0,21.53846153846154,37.0,48.421052631578945,320.0,7.000000000000001,55.78210968503366
2011-09-01,64.0,53.086419753086425,43.0,36.0,45.94594594594595,41.75824175824176,42.0,40.0,21.0,23.0,36.92307692307693,57.99999999999999,56.84210526315789,340.0,7.000000000000001,60.57038597623393
2011-10-01,60.0,51.85185185185185,47.0,37.0,50.0,52.74725274725275,42.0,40.0,23.0,19.0,24.615384615384617,40.0,55.78947368421052,400.0,7.000000000000001,63.33359752657998
2011-11-01,61.0,60.49382716049383,42.0,38.0,44.5945945945946,43.956043956043956,45.0,44.0,25.0,20.0,23.076923076923077,40.0,53.68421052631579,980.0000000000001,8.0,101.92037328762476
2011-12-01,62.0,66.66666666666666,37.0,37.0,41.891891891891895,45.05494505494506,45.0,46.0,23.0,17.0,24.615384615384617,34.0,53.68421052631579,500.0,8.0,69.39420658368026
2012-01-01,59.0,62.96296296296296,36.0,44.0,41.891891891891895,45.05494505494506,46.0,44.0,21.0,16.0,21.53846153846154,35.0,51.578947368421055,360.0,7.000000000000001,59.40181392111217
2012-02-01,57.99999999999999,58.0246913580247,42.0,38.0,43.24324324324324,45.05494505494506,45.0,44.0,21.0,17.0,20.0,39.0,53.68421052631579,300.0,7.000000000000001,55.40047267883526
2012-03-01,56.99999999999999,62.96296296296296,42.0,38.0,45.94594594594595,48.35164835164835,42.0,52.0,20.0,17.0,20.0,39.0,51.578947368421055,240.0,7.000000000000001,52.18930030859856
2012-04-01,57.99999999999999,62.96296296296296,44.0,38.0,48.64864864864865,45.05494505494506,43.0,80.0,20.0,17.0,20.0,44.0,52.63157894736842,220.00000000000003,7.000000000000001,53.35320904092835
2012-05-01,57.99999999999999,56.79012345679012,41.0,39.0,50.0,48.35164835164835,45.0,57.99999999999999,20.0,19.0,21.53846153846154,37.0,49.473684210526315,200.0,7.000000000000001,50.01026117049509
2012-06-01,60.0,53.086419753086425,34.0,37.0,50.0,43.956043956043956,44.0,42.0,19.0,13.0,18.461538461538463,31.0,45.26315789473684,180.0,7.000000000000001,45.184477337693714
2012-07-01,55.00000000000001,56.79012345679012,32.0,37.0,43.24324324324324,48.35164835164835,43.0,44.0,20.0,14.000000000000002,21.53846153846154,34.0,43.15789473684211,180.0,7.000000000000001,45.272091421799026
2012-08-01,59.0,49.382716049382715,34.0,40.0,48.64864864864865,48.35164835164835,43.0,38.0,20.0,13.0,21.53846153846154,34.0,40.0,160.0,7.000000000000001,43.72809830587608
2012-09-01,60.0,54.32098765432099,44.0,46.0,45.94594594594595,52.74725274725275,45.0,38.0,20.0,18.0,30.76923076923077,52.0,46.31578947368421,140.0,7.000000000000001,46.67328043936231
2012-10-01,59.0,53.086419753086425,45.0,82.0,44.5945945945946,51.64835164835166,46.0,46.0,19.0,17.0,27.692307692307693,45.0,47.368421052631575,160.0,7.000000000000001,50.026006316064795
2012-11-01,59.0,51.85185185185185,51.0,51.0,41.891891891891895,48.35164835164835,48.0,46.0,24.0,17.0,26.153846153846157,38.0,51.578947368421055,160.0,8.0,48.12187904117729
