date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,18
2005-01,0
2005-02,0
2005-03,16
2005-04,25
2005-05,0
2005-06,10
2005-07,0
2005-08,12
2005-09,14
2005-10,16
2005-11,15
2005-12,13
2006-01,9
2006-02,13
2006-03,11
2006-04,17
2006-05,17
2006-06,15
2006-07,8
2006-08,14
2006-09,16
2006-10,19
2006-11,27
2006-12,20
2007-01,18
2007-02,19
2007-03,17
2007-04,20
2007-05,17
2007-06,15
2007-07,9
2007-08,12
2007-09,16
2007-10,19
2007-11,22
2007-12,17
2008-01,18
2008-02,12
2008-03,16
2008-04,20
2008-05,15
2008-06,12
2008-07,13
2008-08,16
2008-09,20
2008-10,20
2008-11,17
2008-12,15
2009-01,13
2009-02,17
2009-03,16
2009-04,16
2009-05,14
2009-06,12
2009-07,9
2009-08,10
2009-09,11
2009-10,13
2009-11,12
2009-12,10
2010-01,11
2010-02,9
2010-03,12
2010-04,13
2010-05,14
2010-06,9
2010-07,6
2010-08,9
2010-09,9
2010-10,10
2010-11,11
2010-12,10
2011-01,9
2011-02,10
2011-03,14
2011-04,12
2011-05,10
2011-06,16
2011-07,8
2011-08,9
2011-09,9
2011-10,11
2011-11,10
2011-12,9
2012-01,7
2012-02,10
2012-03,10
2012-04,11
2012-05,9
2012-06,7
2012-07,10
2012-08,10
2012-09,10
2012-10,11
2012-11,9
2012-12,10
2013-01,9
2013-02,10
2013-03,12
2013-04,14
2013-05,11
2013-06,8
2013-07,8
2013-08,9
2013-09,11
2013-10,12
2013-11,11
2013-12,11
2014-01,9
2014-02,13
2014-03,11
2014-04,11
2014-05,21
2014-06,10
2014-07,9
2014-08,9
2014-09,9
2014-10,11
2014-11,11
2014-12,13
2015-01,10
2015-02,12
2015-03,13
2015-04,16
2015-05,13
2015-06,9
2015-07,8
2015-08,9
2015-09,12
2015-10,15
2015-11,15
2015-12,17
2016-01,12
2016-02,18
2016-03,19
2016-04,19
2016-05,14
2016-06,8
2016-07,10
2016-08,11
2016-09,13
2016-10,17
2016-11,15
2016-12,19
2017-01,11
2017-02,19
2017-03,19
2017-04,22
2017-05,15
2017-06,12
2017-07,11
2017-08,12
2017-09,15
2017-10,20
2017-11,18
2017-12,22
2018-01,15
2018-02,15
2018-03,21
2018-04,24
2018-05,18
2018-06,12
2018-07,11
2018-08,15
2018-09,17
2018-10,24
2018-11,22
2018-12,27
2019-01,17
2019-02,23
2019-03,23
2019-04,23
2019-05,22
2019-06,17
2019-07,10
2019-08,14
2019-09,18
2019-10,24
2019-11,19
2019-12,26
2020-01,16
2020-02,15
2020-03,25
2020-04,38
2020-05,34
2020-06,33
2020-07,20
2020-08,14
2020-09,16
2020-10,25
2020-11,29
2020-12,32
2021-01,24
2021-02,18
2021-03,32
2021-04,33
2021-05,45
2021-06,31
2021-07,18
2021-08,18
2021-09,30
2021-10,58
2021-11,65
2021-12,73
2022-01,56
2022-02,72
2022-03,100
2022-04,67
2022-05,52
2022-06,37
2022-07,22
2022-08,20
2022-09,30
2022-10,51
2022-11,48
2022-12,52
2023-01,26
2023-02,40
2023-03,51
2023-04,54
2023-05,41
2023-06,38
2023-07,16
2023-08,16
2023-09,27
2023-10,45
2023-11,34
2023-12,38
2024-01,28
2024-02,25
2024-03,57
2024-04,55
2024-05,43
2024-06,35
2024-07,16
2024-08,25
2024-09,33
2024-10,43
2024-11,38
2024-12,43
2025-01,25
2025-02,24
