date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,42
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,30
2006-12,25
2007-01,19
2007-02,22
2007-03,30
2007-04,20
2007-05,24
2007-06,29
2007-07,15
2007-08,18
2007-09,28
2007-10,25
2007-11,28
2007-12,30
2008-01,13
2008-02,16
2008-03,24
2008-04,24
2008-05,22
2008-06,17
2008-07,14
2008-08,13
2008-09,16
2008-10,24
2008-11,24
2008-12,19
2009-01,12
2009-02,16
2009-03,24
2009-04,18
2009-05,13
2009-06,11
2009-07,6
2009-08,9
2009-09,14
2009-10,14
2009-11,14
2009-12,14
2010-01,13
2010-02,0
2010-03,17
2010-04,18
2010-05,11
2010-06,12
2010-07,6
2010-08,9
2010-09,12
2010-10,12
2010-11,12
2010-12,14
2011-01,8
2011-02,6
2011-03,11
2011-04,13
2011-05,13
2011-06,9
2011-07,5
2011-08,8
2011-09,10
2011-10,11
2011-11,12
2011-12,12
2012-01,4
2012-02,8
2012-03,10
2012-04,11
2012-05,11
2012-06,8
2012-07,5
2012-08,6
2012-09,8
2012-10,10
2012-11,10
2012-12,10
2013-01,7
2013-02,3
2013-03,9
2013-04,12
2013-05,10
2013-06,7
2013-07,4
2013-08,6
2013-09,8
2013-10,10
2013-11,10
2013-12,11
2014-01,5
2014-02,5
2014-03,8
2014-04,10
2014-05,8
2014-06,6
2014-07,4
2014-08,5
2014-09,7
2014-10,8
2014-11,8
2014-12,9
2015-01,4
2015-02,4
2015-03,7
2015-04,9
2015-05,8
2015-06,4
2015-07,3
2015-08,9
2015-09,6
2015-10,7
2015-11,8
2015-12,12
2016-01,4
2016-02,3
2016-03,7
2016-04,10
2016-05,7
2016-06,4
2016-07,5
2016-08,7
2016-09,6
2016-10,7
2016-11,9
2016-12,13
2017-01,5
2017-02,6
2017-03,9
2017-04,13
2017-05,8
2017-06,3
2017-07,4
2017-08,4
2017-09,5
2017-10,7
2017-11,9
2017-12,13
2018-01,6
2018-02,3
2018-03,9
2018-04,15
2018-05,10
2018-06,5
2018-07,4
2018-08,5
2018-09,6
2018-10,8
2018-11,10
2018-12,16
2019-01,5
2019-02,4
2019-03,9
2019-04,16
2019-05,13
2019-06,5
2019-07,4
2019-08,4
2019-09,6
2019-10,9
2019-11,8
2019-12,23
2020-01,4
2020-02,6
2020-03,11
2020-04,25
2020-05,17
2020-06,30
2020-07,12
2020-08,6
2020-09,8
2020-10,13
2020-11,17
2020-12,33
2021-01,16
2021-02,7
2021-03,18
2021-04,24
2021-05,37
2021-06,20
2021-07,14
2021-08,11
2021-09,17
2021-10,40
2021-11,60
2021-12,100
2022-01,79
2022-02,30
2022-03,72
2022-04,63
2022-05,52
2022-06,24
2022-07,12
2022-08,9
2022-09,16
2022-10,35
2022-11,35
2022-12,70
2023-01,20
2023-02,21
2023-03,39
2023-04,47
2023-05,45
2023-06,25
2023-07,10
2023-08,9
2023-09,15
2023-10,29
2023-11,25
2023-12,31
2024-01,18
2024-02,14
2024-03,35
2024-04,33
2024-05,37
2024-06,27
2024-07,12
2024-08,11
2024-09,16
2024-10,30
2024-11,33
2024-12,38
2025-01,15
2025-02,15
