date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,25
2004-09,0
2004-10,23
2004-11,0
2004-12,27
2005-01,17
2005-02,24
2005-03,27
2005-04,32
2005-05,33
2005-06,16
2005-07,27
2005-08,22
2005-09,33
2005-10,38
2005-11,56
2005-12,41
2006-01,24
2006-02,49
2006-03,51
2006-04,76
2006-05,40
2006-06,40
2006-07,25
2006-08,30
2006-09,37
2006-10,37
2006-11,54
2006-12,36
2007-01,41
2007-02,25
2007-03,40
2007-04,40
2007-05,49
2007-06,37
2007-07,29
2007-08,33
2007-09,41
2007-10,43
2007-11,45
2007-12,40
2008-01,33
2008-02,29
2008-03,42
2008-04,46
2008-05,46
2008-06,41
2008-07,33
2008-08,41
2008-09,41
2008-10,41
2008-11,39
2008-12,33
2009-01,22
2009-02,30
2009-03,34
2009-04,40
2009-05,31
2009-06,31
2009-07,24
2009-08,29
2009-09,29
2009-10,31
2009-11,30
2009-12,29
2010-01,25
2010-02,16
2010-03,30
2010-04,31
2010-05,32
2010-06,30
2010-07,18
2010-08,24
2010-09,26
2010-10,30
2010-11,30
2010-12,28
2011-01,38
2011-02,24
2011-03,27
2011-04,28
2011-05,27
2011-06,24
2011-07,21
2011-08,28
2011-09,26
2011-10,24
2011-11,26
2011-12,22
2012-01,11
2012-02,20
2012-03,22
2012-04,23
2012-05,24
2012-06,21
2012-07,19
2012-08,24
2012-09,26
2012-10,31
2012-11,22
2012-12,23
2013-01,20
2013-02,15
2013-03,22
2013-04,22
2013-05,41
2013-06,23
2013-07,20
2013-08,31
2013-09,32
2013-10,30
2013-11,26
2013-12,24
2014-01,17
2014-02,20
2014-03,27
2014-04,24
2014-05,25
2014-06,31
2014-07,23
2014-08,28
2014-09,29
2014-10,30
2014-11,26
2014-12,27
2015-01,32
2015-02,15
2015-03,29
2015-04,28
2015-05,30
2015-06,24
2015-07,23
2015-08,32
2015-09,31
2015-10,32
2015-11,30
2015-12,41
2016-01,62
2016-02,29
2016-03,30
2016-04,33
2016-05,27
2016-06,24
2016-07,24
2016-08,34
2016-09,32
2016-10,32
2016-11,32
2016-12,32
2017-01,21
2017-02,30
2017-03,36
2017-04,38
2017-05,35
2017-06,25
2017-07,27
2017-08,33
2017-09,31
2017-10,37
2017-11,32
2017-12,34
2018-01,28
2018-02,17
2018-03,33
2018-04,38
2018-05,36
2018-06,26
2018-07,25
2018-08,33
2018-09,36
2018-10,40
2018-11,33
2018-12,35
2019-01,24
2019-02,21
2019-03,30
2019-04,36
2019-05,34
2019-06,30
2019-07,27
2019-08,36
2019-09,36
2019-10,38
2019-11,34
2019-12,36
2020-01,19
2020-02,30
2020-03,38
2020-04,50
2020-05,51
2020-06,50
2020-07,36
2020-08,37
2020-09,41
2020-10,47
2020-11,45
2020-12,55
2021-01,58
2021-02,54
2021-03,56
2021-04,59
2021-05,55
2021-06,42
2021-07,36
2021-08,37
2021-09,47
2021-10,69
2021-11,83
2021-12,82
2022-01,76
2022-02,61
2022-03,100
2022-04,86
2022-05,67
2022-06,55
2022-07,42
2022-08,47
2022-09,54
2022-10,65
2022-11,69
2022-12,68
2023-01,37
2023-02,60
2023-03,76
2023-04,75
2023-05,66
2023-06,55
2023-07,42
2023-08,48
2023-09,49
2023-10,63
2023-11,64
2023-12,64
2024-01,50
2024-02,37
2024-03,85
2024-04,80
2024-05,91
2024-06,66
2024-07,59
2024-08,64
2024-09,58
2024-10,76
2024-11,76
2024-12,81
2025-01,47
2025-02,56
