date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,100
2006-05,63
2006-06,87
2006-07,67
2006-08,87
2006-09,81
2006-10,84
2006-11,75
2006-12,0
2007-01,52
2007-02,0
2007-03,44
2007-04,59
2007-05,42
2007-06,64
2007-07,46
2007-08,60
2007-09,84
2007-10,56
2007-11,44
2007-12,37
2008-01,29
2008-02,0
2008-03,30
2008-04,37
2008-05,37
2008-06,71
2008-07,59
2008-08,52
2008-09,35
2008-10,46
2008-11,40
2008-12,23
2009-01,23
2009-02,36
2009-03,44
2009-04,32
2009-05,29
2009-06,29
2009-07,28
2009-08,28
2009-09,24
2009-10,26
2009-11,33
2009-12,27
2010-01,25
2010-02,14
2010-03,23
2010-04,28
2010-05,22
2010-06,24
2010-07,18
2010-08,22
2010-09,21
2010-10,24
2010-11,30
2010-12,30
2011-01,14
2011-02,13
2011-03,14
2011-04,14
2011-05,15
2011-06,26
2011-07,18
2011-08,32
2011-09,33
2011-10,32
2011-11,28
2011-12,24
2012-01,11
2012-02,15
2012-03,21
2012-04,19
2012-05,26
2012-06,22
2012-07,15
2012-08,23
2012-09,24
2012-10,27
2012-11,28
2012-12,21
2013-01,19
2013-02,21
2013-03,17
2013-04,17
2013-05,18
2013-06,21
2013-07,19
2013-08,22
2013-09,28
2013-10,29
2013-11,23
2013-12,27
2014-01,16
2014-02,15
2014-03,20
2014-04,20
2014-05,17
2014-06,14
2014-07,15
2014-08,19
2014-09,22
2014-10,22
2014-11,24
2014-12,24
2015-01,21
2015-02,14
2015-03,17
2015-04,15
2015-05,15
2015-06,13
2015-07,13
2015-08,15
2015-09,23
2015-10,37
2015-11,34
2015-12,30
2016-01,33
2016-02,15
2016-03,20
2016-04,18
2016-05,17
2016-06,18
2016-07,21
2016-08,21
2016-09,23
2016-10,30
2016-11,27
2016-12,25
2017-01,14
2017-02,15
2017-03,19
2017-04,17
2017-05,16
2017-06,12
2017-07,11
2017-08,16
2017-09,19
2017-10,25
2017-11,22
2017-12,27
2018-01,18
2018-02,10
2018-03,19
2018-04,21
2018-05,22
2018-06,17
2018-07,12
2018-08,14
2018-09,19
2018-10,19
2018-11,23
2018-12,22
2019-01,15
2019-02,11
2019-03,15
2019-04,15
2019-05,21
2019-06,22
2019-07,51
2019-08,29
2019-09,22
2019-10,26
2019-11,22
2019-12,21
2020-01,15
2020-02,16
2020-03,14
2020-04,17
2020-05,20
2020-06,24
2020-07,20
2020-08,16
2020-09,17
2020-10,21
2020-11,20
2020-12,24
2021-01,21
2021-02,14
2021-03,24
2021-04,16
2021-05,16
2021-06,16
2021-07,16
2021-08,17
2021-09,90
2021-10,78
2021-11,42
2021-12,33
2022-01,23
2022-02,19
2022-03,22
2022-04,24
2022-05,26
2022-06,32
2022-07,22
2022-08,21
2022-09,25
2022-10,31
2022-11,30
2022-12,30
2023-01,17
2023-02,27
2023-03,26
2023-04,26
2023-05,30
2023-06,25
2023-07,22
2023-08,33
2023-09,31
2023-10,31
2023-11,65
2023-12,32
2024-01,23
2024-02,13
2024-03,27
2024-04,27
2024-05,32
2024-06,26
2024-07,30
2024-08,29
2024-09,33
2024-10,46
2024-11,37
2024-12,30
2025-01,15
2025-02,15
