date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,100
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,73
2011-01,0
2011-02,35
2011-03,34
2011-04,48
2011-05,30
2011-06,0
2011-07,0
2011-08,21
2011-09,29
2011-10,34
2011-11,31
2011-12,27
2012-01,0
2012-02,23
2012-03,36
2012-04,26
2012-05,32
2012-06,0
2012-07,0
2012-08,0
2012-09,29
2012-10,28
2012-11,37
2012-12,22
2013-01,14
2013-02,0
2013-03,14
2013-04,42
2013-05,31
2013-06,24
2013-07,0
2013-08,0
2013-09,28
2013-10,22
2013-11,32
2013-12,26
2014-01,11
2014-02,14
2014-03,19
2014-04,24
2014-05,18
2014-06,16
2014-07,0
2014-08,11
2014-09,18
2014-10,24
2014-11,22
2014-12,17
2015-01,20
2015-02,12
2015-03,15
2015-04,15
2015-05,25
2015-06,13
2015-07,9
2015-08,21
2015-09,26
2015-10,18
2015-11,24
2015-12,29
2016-01,12
2016-02,0
2016-03,16
2016-04,16
2016-05,11
2016-06,7
2016-07,0
2016-08,0
2016-09,12
2016-10,16
2016-11,20
2016-12,19
2017-01,0
2017-02,12
2017-03,19
2017-04,17
2017-05,13
2017-06,13
2017-07,0
2017-08,0
2017-09,16
2017-10,14
2017-11,22
2017-12,20
2018-01,10
2018-02,0
2018-03,25
2018-04,12
2018-05,13
2018-06,11
2018-07,0
2018-08,12
2018-09,9
2018-10,19
2018-11,23
2018-12,9
2019-01,8
2019-02,0
2019-03,14
2019-04,13
2019-05,17
2019-06,8
2019-07,0
2019-08,9
2019-09,19
2019-10,28
2019-11,18
2019-12,15
2020-01,0
2020-02,8
2020-03,15
2020-04,15
2020-05,26
2020-06,15
2020-07,15
2020-08,10
2020-09,23
2020-10,23
2020-11,31
2020-12,24
2021-01,20
2021-02,10
2021-03,16
2021-04,22
2021-05,13
2021-06,13
2021-07,18
2021-08,17
2021-09,27
2021-10,44
2021-11,46
2021-12,49
2022-01,35
2022-02,32
2022-03,41
2022-04,42
2022-05,34
2022-06,25
2022-07,12
2022-08,19
2022-09,33
2022-10,60
2022-11,70
2022-12,44
2023-01,17
2023-02,31
2023-03,41
2023-04,33
2023-05,34
2023-06,29
2023-07,16
2023-08,14
2023-09,24
2023-10,40
2023-11,46
2023-12,38
2024-01,23
2024-02,21
2024-03,36
2024-04,29
2024-05,27
2024-06,26
2024-07,19
2024-08,24
2024-09,42
2024-10,61
2024-11,53
2024-12,57
2025-01,21
2025-02,23
