date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,37
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,24
2005-04,0
2005-05,36
2005-06,25
2005-07,0
2005-08,19
2005-09,0
2005-10,37
2005-11,0
2005-12,36
2006-01,0
2006-02,20
2006-03,24
2006-04,22
2006-05,23
2006-06,35
2006-07,14
2006-08,26
2006-09,23
2006-10,31
2006-11,26
2006-12,28
2007-01,26
2007-02,14
2007-03,24
2007-04,32
2007-05,30
2007-06,22
2007-07,19
2007-08,19
2007-09,16
2007-10,24
2007-11,23
2007-12,21
2008-01,16
2008-02,14
2008-03,22
2008-04,17
2008-05,13
2008-06,17
2008-07,16
2008-08,14
2008-09,20
2008-10,21
2008-11,19
2008-12,18
2009-01,11
2009-02,14
2009-03,17
2009-04,17
2009-05,13
2009-06,13
2009-07,10
2009-08,15
2009-09,16
2009-10,15
2009-11,15
2009-12,14
2010-01,13
2010-02,8
2010-03,14
2010-04,15
2010-05,16
2010-06,15
2010-07,9
2010-08,9
2010-09,10
2010-10,14
2010-11,15
2010-12,14
2011-01,13
2011-02,12
2011-03,13
2011-04,13
2011-05,11
2011-06,10
2011-07,8
2011-08,12
2011-09,15
2011-10,16
2011-11,15
2011-12,14
2012-01,11
2012-02,15
2012-03,16
2012-04,20
2012-05,13
2012-06,10
2012-07,8
2012-08,9
2012-09,12
2012-10,15
2012-11,13
2012-12,13
2013-01,16
2013-02,13
2013-03,14
2013-04,13
2013-05,13
2013-06,12
2013-07,11
2013-08,15
2013-09,17
2013-10,20
2013-11,19
2013-12,20
2014-01,25
2014-02,18
2014-03,17
2014-04,14
2014-05,12
2014-06,11
2014-07,11
2014-08,15
2014-09,23
2014-10,22
2014-11,22
2014-12,23
2015-01,24
2015-02,26
2015-03,19
2015-04,17
2015-05,16
2015-06,16
2015-07,15
2015-08,20
2015-09,20
2015-10,23
2015-11,24
2015-12,24
2016-01,26
2016-02,22
2016-03,23
2016-04,20
2016-05,19
2016-06,17
2016-07,16
2016-08,20
2016-09,24
2016-10,25
2016-11,23
2016-12,25
2017-01,29
2017-02,27
2017-03,23
2017-04,19
2017-05,17
2017-06,14
2017-07,15
2017-08,16
2017-09,20
2017-10,24
2017-11,41
2017-12,44
2018-01,26
2018-02,28
2018-03,26
2018-04,20
2018-05,22
2018-06,16
2018-07,18
2018-08,24
2018-09,100
2018-10,29
2018-11,27
2018-12,24
2019-01,23
2019-02,21
2019-03,20
2019-04,19
2019-05,19
2019-06,16
2019-07,14
2019-08,17
2019-09,23
2019-10,26
2019-11,24
2019-12,27
2020-01,26
2020-02,18
2020-03,23
2020-04,37
2020-05,25
2020-06,21
2020-07,20
2020-08,19
2020-09,23
2020-10,30
2020-11,34
2020-12,33
2021-01,31
2021-02,32
2021-03,25
2021-04,22
2021-05,30
2021-06,24
2021-07,36
2021-08,51
2021-09,45
2021-10,52
2021-11,61
2021-12,57
2022-01,55
2022-02,33
2022-03,48
2022-04,42
2022-05,37
2022-06,28
2022-07,20
2022-08,23
2022-09,31
2022-10,53
2022-11,45
2022-12,36
2023-01,30
2023-02,30
2023-03,33
2023-04,38
2023-05,36
2023-06,28
2023-07,18
2023-08,22
2023-09,28
2023-10,50
2023-11,46
2023-12,46
2024-01,37
2024-02,36
2024-03,60
2024-04,52
2024-05,51
2024-06,29
2024-07,19
2024-08,21
2024-09,22
2024-10,39
2024-11,40
2024-12,44
2025-01,33
2025-02,33
