date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,31
2006-03,0
2006-04,27
2006-05,25
2006-06,22
2006-07,0
2006-08,28
2006-09,25
2006-10,33
2006-11,24
2006-12,0
2007-01,15
2007-02,0
2007-03,0
2007-04,17
2007-05,11
2007-06,8
2007-07,15
2007-08,11
2007-09,19
2007-10,18
2007-11,8
2007-12,14
2008-01,9
2008-02,0
2008-03,9
2008-04,10
2008-05,16
2008-06,7
2008-07,8
2008-08,12
2008-09,17
2008-10,13
2008-11,8
2008-12,9
2009-01,7
2009-02,10
2009-03,13
2009-04,12
2009-05,14
2009-06,14
2009-07,8
2009-08,9
2009-09,14
2009-10,11
2009-11,12
2009-12,9
2010-01,8
2010-02,8
2010-03,10
2010-04,14
2010-05,11
2010-06,10
2010-07,9
2010-08,10
2010-09,8
2010-10,7
2010-11,8
2010-12,8
2011-01,7
2011-02,7
2011-03,57
2011-04,20
2011-05,10
2011-06,11
2011-07,7
2011-08,8
2011-09,8
2011-10,6
2011-11,8
2011-12,8
2012-01,7
2012-02,9
2012-03,11
2012-04,9
2012-05,10
2012-06,9
2012-07,7
2012-08,9
2012-09,8
2012-10,8
2012-11,7
2012-12,7
2013-01,8
2013-02,10
2013-03,11
2013-04,12
2013-05,9
2013-06,10
2013-07,8
2013-08,10
2013-09,12
2013-10,8
2013-11,9
2013-12,8
2014-01,9
2014-02,9
2014-03,12
2014-04,13
2014-05,14
2014-06,12
2014-07,8
2014-08,10
2014-09,10
2014-10,9
2014-11,9
2014-12,10
2015-01,9
2015-02,10
2015-03,15
2015-04,15
2015-05,13
2015-06,15
2015-07,10
2015-08,13
2015-09,13
2015-10,10
2015-11,11
2015-12,11
2016-01,12
2016-02,10
2016-03,15
2016-04,20
2016-05,15
2016-06,16
2016-07,10
2016-08,14
2016-09,17
2016-10,15
2016-11,19
2016-12,17
2017-01,14
2017-02,16
2017-03,20
2017-04,28
2017-05,19
2017-06,17
2017-07,11
2017-08,15
2017-09,21
2017-10,15
2017-11,14
2017-12,15
2018-01,14
2018-02,14
2018-03,22
2018-04,30
2018-05,23
2018-06,22
2018-07,10
2018-08,16
2018-09,23
2018-10,18
2018-11,15
2018-12,17
2019-01,14
2019-02,20
2019-03,26
2019-04,35
2019-05,29
2019-06,30
2019-07,12
2019-08,18
2019-09,25
2019-10,19
2019-11,20
2019-12,22
2020-01,17
2020-02,19
2020-03,22
2020-04,42
2020-05,47
2020-06,49
2020-07,30
2020-08,21
2020-09,30
2020-10,29
2020-11,26
2020-12,28
2021-01,21
2021-02,21
2021-03,30
2021-04,57
2021-05,51
2021-06,48
2021-07,24
2021-08,21
2021-09,64
2021-10,86
2021-11,100
2021-12,83
2022-01,63
2022-02,51
2022-03,88
2022-04,93
2022-05,59
2022-06,45
2022-07,23
2022-08,21
2022-09,58
2022-10,71
2022-11,48
2022-12,51
2023-01,24
2023-02,30
2023-03,48
2023-04,76
2023-05,50
2023-06,49
2023-07,20
2023-08,26
2023-09,45
2023-10,53
2023-11,39
2023-12,46
2024-01,27
2024-02,26
2024-03,46
2024-04,74
2024-05,50
2024-06,48
2024-07,21
2024-08,26
2024-09,44
2024-10,63
2024-11,54
2024-12,55
2025-01,34
2025-02,43
