date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,14
2007-06,0
2007-07,11
2007-08,0
2007-09,19
2007-10,10
2007-11,0
2007-12,10
2008-01,10
2008-02,0
2008-03,11
2008-04,10
2008-05,11
2008-06,0
2008-07,6
2008-08,8
2008-09,13
2008-10,12
2008-11,10
2008-12,8
2009-01,0
2009-02,0
2009-03,8
2009-04,8
2009-05,6
2009-06,6
2009-07,6
2009-08,10
2009-09,9
2009-10,7
2009-11,5
2009-12,4
2010-01,6
2010-02,5
2010-03,5
2010-04,20
2010-05,11
2010-06,6
2010-07,5
2010-08,6
2010-09,10
2010-10,11
2010-11,8
2010-12,6
2011-01,7
2011-02,7
2011-03,10
2011-04,6
2011-05,35
2011-06,6
2011-07,6
2011-08,7
2011-09,15
2011-10,7
2011-11,8
2011-12,7
2012-01,6
2012-02,6
2012-03,6
2012-04,6
2012-05,7
2012-06,5
2012-07,6
2012-08,9
2012-09,8
2012-10,8
2012-11,7
2012-12,8
2013-01,8
2013-02,5
2013-03,7
2013-04,16
2013-05,8
2013-06,6
2013-07,5
2013-08,7
2013-09,12
2013-10,9
2013-11,9
2013-12,7
2014-01,6
2014-02,7
2014-03,13
2014-04,8
2014-05,11
2014-06,9
2014-07,15
2014-08,17
2014-09,28
2014-10,19
2014-11,11
2014-12,11
2015-01,16
2015-02,10
2015-03,17
2015-04,18
2015-05,17
2015-06,13
2015-07,10
2015-08,10
2015-09,18
2015-10,13
2015-11,100
2015-12,20
2016-01,17
2016-02,11
2016-03,35
2016-04,17
2016-05,18
2016-06,14
2016-07,25
2016-08,12
2016-09,18
2016-10,16
2016-11,15
2016-12,12
2017-01,15
2017-02,13
2017-03,16
2017-04,17
2017-05,16
2017-06,14
2017-07,13
2017-08,18
2017-09,43
2017-10,37
2017-11,24
2017-12,20
2018-01,12
2018-02,11
2018-03,12
2018-04,11
2018-05,12
2018-06,10
2018-07,12
2018-08,16
2018-09,30
2018-10,28
2018-11,25
2018-12,15
2019-01,9
2019-02,9
2019-03,14
2019-04,14
2019-05,14
2019-06,20
2019-07,21
2019-08,19
2019-09,26
2019-10,18
2019-11,19
2019-12,19
2020-01,17
2020-02,16
2020-03,17
2020-04,64
2020-05,28
2020-06,17
2020-07,16
2020-08,24
2020-09,23
2020-10,15
2020-11,16
2020-12,12
2021-01,14
2021-02,11
2021-03,12
2021-04,12
2021-05,17
2021-06,13
2021-07,14
2021-08,21
2021-09,24
2021-10,19
2021-11,16
2021-12,16
2022-01,15
2022-02,14
2022-03,15
2022-04,14
2022-05,15
2022-06,17
2022-07,13
2022-08,12
2022-09,17
2022-10,18
2022-11,16
2022-12,14
2023-01,11
2023-02,13
2023-03,16
2023-04,16
2023-05,14
2023-06,61
2023-07,18
2023-08,13
2023-09,18
2023-10,18
2023-11,15
2023-12,12
2024-01,19
2024-02,11
2024-03,32
2024-04,16
2024-05,14
2024-06,14
2024-07,13
2024-08,15
2024-09,17
2024-10,18
2024-11,14
2024-12,15
2025-01,12
2025-02,12
