date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,26
2006-07,0
2006-08,0
2006-09,0
2006-10,28
2006-11,0
2006-12,15
2007-01,17
2007-02,0
2007-03,15
2007-04,17
2007-05,11
2007-06,12
2007-07,8
2007-08,8
2007-09,21
2007-10,17
2007-11,17
2007-12,15
2008-01,15
2008-02,21
2008-03,22
2008-04,20
2008-05,22
2008-06,33
2008-07,20
2008-08,9
2008-09,22
2008-10,58
2008-11,41
2008-12,40
2009-01,23
2009-02,45
2009-03,49
2009-04,47
2009-05,29
2009-06,22
2009-07,11
2009-08,11
2009-09,26
2009-10,26
2009-11,23
2009-12,19
2010-01,18
2010-02,11
2010-03,21
2010-04,26
2010-05,23
2010-06,14
2010-07,6
2010-08,10
2010-09,11
2010-10,15
2010-11,14
2010-12,14
2011-01,9
2011-02,11
2011-03,17
2011-04,16
2011-05,14
2011-06,8
2011-07,7
2011-08,9
2011-09,12
2011-10,14
2011-11,16
2011-12,12
2012-01,7
2012-02,12
2012-03,14
2012-04,15
2012-05,14
2012-06,10
2012-07,7
2012-08,9
2012-09,10
2012-10,12
2012-11,12
2012-12,12
2013-01,9
2013-02,6
2013-03,12
2013-04,12
2013-05,12
2013-06,7
2013-07,4
2013-08,7
2013-09,11
2013-10,12
2013-11,11
2013-12,11
2014-01,7
2014-02,8
2014-03,13
2014-04,11
2014-05,9
2014-06,6
2014-07,3
2014-08,5
2014-09,8
2014-10,9
2014-11,8
2014-12,11
2015-01,7
2015-02,5
2015-03,9
2015-04,9
2015-05,8
2015-06,6
2015-07,6
2015-08,6
2015-09,9
2015-10,8
2015-11,9
2015-12,14
2016-01,6
2016-02,5
2016-03,8
2016-04,9
2016-05,8
2016-06,6
2016-07,5
2016-08,6
2016-09,8
2016-10,8
2016-11,12
2016-12,16
2017-01,6
2017-02,7
2017-03,9
2017-04,9
2017-05,8
2017-06,5
2017-07,4
2017-08,6
2017-09,7
2017-10,9
2017-11,12
2017-12,18
2018-01,8
2018-02,6
2018-03,9
2018-04,9
2018-05,8
2018-06,7
2018-07,5
2018-08,7
2018-09,9
2018-10,11
2018-11,12
2018-12,22
2019-01,9
2019-02,8
2019-03,9
2019-04,10
2019-05,9
2019-06,7
2019-07,5
2019-08,7
2019-09,10
2019-10,10
2019-11,14
2019-12,26
2020-01,9
2020-02,13
2020-03,24
2020-04,25
2020-05,14
2020-06,13
2020-07,12
2020-08,9
2020-09,12
2020-10,12
2020-11,16
2020-12,34
2021-01,19
2021-02,11
2021-03,16
2021-04,14
2021-05,18
2021-06,14
2021-07,12
2021-08,11
2021-09,18
2021-10,26
2021-11,31
2021-12,86
2022-01,100
2022-02,88
2022-03,40
2022-04,22
2022-05,25
2022-06,20
2022-07,15
2022-08,14
2022-09,21
2022-10,29
2022-11,29
2022-12,60
2023-01,22
2023-02,21
2023-03,30
2023-04,23
2023-05,21
2023-06,19
2023-07,13
2023-08,15
2023-09,20
2023-10,26
2023-11,23
2023-12,24
2024-01,19
2024-02,14
2024-03,24
2024-04,19
2024-05,21
2024-06,17
2024-07,12
2024-08,14
2024-09,20
2024-10,26
2024-11,23
2024-12,25
2025-01,14
2025-02,16
