date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,71
2006-03,0
2006-04,68
2006-05,85
2006-06,0
2006-07,51
2006-08,0
2006-09,53
2006-10,54
2006-11,56
2006-12,32
2007-01,42
2007-02,0
2007-03,70
2007-04,62
2007-05,67
2007-06,44
2007-07,41
2007-08,80
2007-09,83
2007-10,59
2007-11,59
2007-12,72
2008-01,59
2008-02,55
2008-03,66
2008-04,77
2008-05,70
2008-06,62
2008-07,78
2008-08,69
2008-09,75
2008-10,73
2008-11,52
2008-12,57
2009-01,38
2009-02,100
2009-03,81
2009-04,72
2009-05,66
2009-06,62
2009-07,60
2009-08,63
2009-09,57
2009-10,59
2009-11,50
2009-12,49
2010-01,54
2010-02,36
2010-03,51
2010-04,52
2010-05,53
2010-06,45
2010-07,40
2010-08,40
2010-09,37
2010-10,42
2010-11,35
2010-12,31
2011-01,30
2011-02,31
2011-03,50
2011-04,55
2011-05,39
2011-06,35
2011-07,35
2011-08,36
2011-09,32
2011-10,29
2011-11,29
2011-12,22
2012-01,15
2012-02,30
2012-03,27
2012-04,28
2012-05,28
2012-06,25
2012-07,22
2012-08,25
2012-09,21
2012-10,25
2012-11,20
2012-12,21
2013-01,23
2013-02,16
2013-03,22
2013-04,25
2013-05,27
2013-06,24
2013-07,26
2013-08,29
2013-09,30
2013-10,35
2013-11,27
2013-12,25
2014-01,17
2014-02,20
2014-03,24
2014-04,23
2014-05,24
2014-06,24
2014-07,26
2014-08,23
2014-09,26
2014-10,24
2014-11,22
2014-12,23
2015-01,19
2015-02,11
2015-03,19
2015-04,18
2015-05,19
2015-06,22
2015-07,21
2015-08,19
2015-09,22
2015-10,22
2015-11,21
2015-12,20
2016-01,16
2016-02,14
2016-03,21
2016-04,19
2016-05,18
2016-06,20
2016-07,17
2016-08,21
2016-09,20
2016-10,19
2016-11,23
2016-12,19
2017-01,13
2017-02,19
2017-03,22
2017-04,19
2017-05,21
2017-06,15
2017-07,12
2017-08,14
2017-09,14
2017-10,16
2017-11,16
2017-12,15
2018-01,14
2018-02,8
2018-03,16
2018-04,16
2018-05,16
2018-06,13
2018-07,13
2018-08,15
2018-09,14
2018-10,14
2018-11,12
2018-12,11
2019-01,9
2019-02,7
2019-03,13
2019-04,12
2019-05,15
2019-06,12
2019-07,11
2019-08,13
2019-09,14
2019-10,20
2019-11,14
2019-12,15
2020-01,10
2020-02,16
2020-03,23
2020-04,41
2020-05,32
2020-06,28
2020-07,27
2020-08,18
2020-09,17
2020-10,16
2020-11,18
2020-12,22
2021-01,20
2021-02,12
2021-03,23
2021-04,23
2021-05,32
2021-06,34
2021-07,25
2021-08,23
2021-09,26
2021-10,36
2021-11,48
2021-12,46
2022-01,40
2022-02,32
2022-03,57
2022-04,47
2022-05,38
2022-06,39
2022-07,24
2022-08,25
2022-09,28
2022-10,35
2022-11,32
2022-12,35
2023-01,18
2023-02,30
2023-03,41
2023-04,43
2023-05,39
2023-06,40
2023-07,24
2023-08,39
2023-09,36
2023-10,39
2023-11,35
2023-12,37
2024-01,30
2024-02,22
2024-03,47
2024-04,56
2024-05,64
2024-06,44
2024-07,39
2024-08,41
2024-09,46
2024-10,51
2024-11,52
2024-12,62
2025-01,30
2025-02,29
