date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,19
2005-06,0
2005-07,0
2005-08,22
2005-09,0
2005-10,14
2005-11,0
2005-12,0
2006-01,15
2006-02,14
2006-03,12
2006-04,13
2006-05,17
2006-06,17
2006-07,19
2006-08,22
2006-09,18
2006-10,14
2006-11,14
2006-12,13
2007-01,11
2007-02,12
2007-03,17
2007-04,16
2007-05,15
2007-06,16
2007-07,17
2007-08,25
2007-09,18
2007-10,11
2007-11,13
2007-12,16
2008-01,15
2008-02,15
2008-03,16
2008-04,17
2008-05,15
2008-06,19
2008-07,17
2008-08,26
2008-09,23
2008-10,18
2008-11,18
2008-12,14
2009-01,12
2009-02,16
2009-03,16
2009-04,15
2009-05,14
2009-06,18
2009-07,16
2009-08,17
2009-09,14
2009-10,13
2009-11,14
2009-12,13
2010-01,12
2010-02,12
2010-03,12
2010-04,12
2010-05,14
2010-06,12
2010-07,11
2010-08,14
2010-09,13
2010-10,11
2010-11,11
2010-12,10
2011-01,9
2011-02,10
2011-03,11
2011-04,11
2011-05,12
2011-06,28
2011-07,16
2011-08,16
2011-09,13
2011-10,11
2011-11,12
2011-12,11
2012-01,8
2012-02,11
2012-03,11
2012-04,10
2012-05,12
2012-06,12
2012-07,16
2012-08,16
2012-09,13
2012-10,12
2012-11,12
2012-12,11
2013-01,11
2013-02,16
2013-03,18
2013-04,17
2013-05,15
2013-06,15
2013-07,19
2013-08,22
2013-09,17
2013-10,17
2013-11,15
2013-12,15
2014-01,14
2014-02,15
2014-03,18
2014-04,16
2014-05,31
2014-06,23
2014-07,22
2014-08,22
2014-09,18
2014-10,17
2014-11,18
2014-12,19
2015-01,19
2015-02,17
2015-03,21
2015-04,20
2015-05,18
2015-06,21
2015-07,27
2015-08,36
2015-09,25
2015-10,30
2015-11,33
2015-12,30
2016-01,25
2016-02,33
2016-03,29
2016-04,29
2016-05,23
2016-06,25
2016-07,30
2016-08,40
2016-09,30
2016-10,31
2016-11,37
2016-12,28
2017-01,22
2017-02,31
2017-03,30
2017-04,30
2017-05,22
2017-06,22
2017-07,33
2017-08,28
2017-09,29
2017-10,33
2017-11,49
2017-12,30
2018-01,23
2018-02,42
2018-03,34
2018-04,36
2018-05,27
2018-06,25
2018-07,42
2018-08,36
2018-09,35
2018-10,48
2018-11,62
2018-12,35
2019-01,34
2019-02,45
2019-03,34
2019-04,40
2019-05,30
2019-06,26
2019-07,41
2019-08,79
2019-09,70
2019-10,48
2019-11,42
2019-12,37
2020-01,36
2020-02,39
2020-03,39
2020-04,51
2020-05,43
2020-06,93
2020-07,36
2020-08,34
2020-09,43
2020-10,52
2020-11,51
2020-12,46
2021-01,33
2021-02,36
2021-03,48
2021-04,47
2021-05,46
2021-06,38
2021-07,39
2021-08,38
2021-09,43
2021-10,64
2021-11,71
2021-12,68
2022-01,60
2022-02,67
2022-03,100
2022-04,94
2022-05,61
2022-06,73
2022-07,45
2022-08,42
2022-09,51
2022-10,68
2022-11,63
2022-12,48
2023-01,54
2023-02,53
2023-03,57
2023-04,59
2023-05,46
2023-06,49
2023-07,41
2023-08,41
2023-09,47
2023-10,60
2023-11,55
2023-12,51
2024-01,39
2024-02,44
2024-03,55
2024-04,56
2024-05,50
2024-06,39
2024-07,35
2024-08,45
2024-09,50
2024-10,71
2024-11,97
2024-12,78
2025-01,45
2025-02,59
