date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,41
2004-11,18
2004-12,30
2005-01,0
2005-02,0
2005-03,0
2005-04,19
2005-05,19
2005-06,0
2005-07,0
2005-08,0
2005-09,11
2005-10,19
2005-11,36
2005-12,37
2006-01,21
2006-02,20
2006-03,25
2006-04,19
2006-05,20
2006-06,22
2006-07,30
2006-08,28
2006-09,22
2006-10,23
2006-11,32
2006-12,36
2007-01,31
2007-02,30
2007-03,36
2007-04,31
2007-05,27
2007-06,21
2007-07,25
2007-08,28
2007-09,34
2007-10,28
2007-11,28
2007-12,37
2008-01,27
2008-02,31
2008-03,30
2008-04,28
2008-05,23
2008-06,27
2008-07,23
2008-08,24
2008-09,32
2008-10,24
2008-11,22
2008-12,32
2009-01,18
2009-02,19
2009-03,22
2009-04,31
2009-05,20
2009-06,16
2009-07,16
2009-08,17
2009-09,19
2009-10,18
2009-11,18
2009-12,30
2010-01,16
2010-02,13
2010-03,15
2010-04,16
2010-05,18
2010-06,16
2010-07,12
2010-08,15
2010-09,14
2010-10,11
2010-11,16
2010-12,19
2011-01,13
2011-02,12
2011-03,14
2011-04,13
2011-05,15
2011-06,21
2011-07,17
2011-08,15
2011-09,13
2011-10,14
2011-11,12
2011-12,17
2012-01,10
2012-02,11
2012-03,14
2012-04,12
2012-05,14
2012-06,13
2012-07,14
2012-08,14
2012-09,14
2012-10,16
2012-11,13
2012-12,17
2013-01,13
2013-02,12
2013-03,14
2013-04,15
2013-05,16
2013-06,14
2013-07,14
2013-08,15
2013-09,15
2013-10,20
2013-11,15
2013-12,18
2014-01,13
2014-02,16
2014-03,17
2014-04,13
2014-05,23
2014-06,17
2014-07,15
2014-08,15
2014-09,16
2014-10,26
2014-11,23
2014-12,30
2015-01,14
2015-02,14
2015-03,21
2015-04,15
2015-05,15
2015-06,17
2015-07,20
2015-08,23
2015-09,22
2015-10,22
2015-11,21
2015-12,27
2016-01,16
2016-02,18
2016-03,25
2016-04,23
2016-05,22
2016-06,24
2016-07,24
2016-08,30
2016-09,22
2016-10,21
2016-11,21
2016-12,31
2017-01,19
2017-02,26
2017-03,27
2017-04,24
2017-05,20
2017-06,23
2017-07,31
2017-08,24
2017-09,23
2017-10,24
2017-11,25
2017-12,33
2018-01,22
2018-02,18
2018-03,28
2018-04,26
2018-05,24
2018-06,25
2018-07,26
2018-08,28
2018-09,26
2018-10,29
2018-11,26
2018-12,34
2019-01,23
2019-02,25
2019-03,26
2019-04,26
2019-05,26
2019-06,27
2019-07,27
2019-08,51
2019-09,43
2019-10,32
2019-11,29
2019-12,37
2020-01,25
2020-02,28
2020-03,29
2020-04,40
2020-05,36
2020-06,33
2020-07,33
2020-08,30
2020-09,38
2020-10,42
2020-11,34
2020-12,47
2021-01,35
2021-02,31
2021-03,41
2021-04,35
2021-05,36
2021-06,35
2021-07,37
2021-08,45
2021-09,43
2021-10,47
2021-11,51
2021-12,61
2022-01,49
2022-02,48
2022-03,58
2022-04,62
2022-05,44
2022-06,37
2022-07,37
2022-08,35
2022-09,40
2022-10,43
2022-11,41
2022-12,51
2023-01,32
2023-02,41
2023-03,43
2023-04,46
2023-05,38
2023-06,42
2023-07,40
2023-08,40
2023-09,38
2023-10,44
2023-11,40
2023-12,54
2024-01,34
2024-02,37
2024-03,45
2024-04,48
2024-05,46
2024-06,41
2024-07,47
2024-08,45
2024-09,49
2024-10,51
2024-11,69
2024-12,100
2025-01,41
2025-02,45
