date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,61
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,49
2006-03,49
2006-04,100
2006-05,45
2006-06,61
2006-07,48
2006-08,71
2006-09,74
2006-10,84
2006-11,89
2006-12,59
2007-01,49
2007-02,26
2007-03,42
2007-04,37
2007-05,49
2007-06,54
2007-07,44
2007-08,48
2007-09,63
2007-10,50
2007-11,42
2007-12,41
2008-01,29
2008-02,23
2008-03,34
2008-04,28
2008-05,41
2008-06,47
2008-07,43
2008-08,40
2008-09,41
2008-10,43
2008-11,31
2008-12,27
2009-01,22
2009-02,29
2009-03,30
2009-04,36
2009-05,25
2009-06,25
2009-07,30
2009-08,27
2009-09,23
2009-10,25
2009-11,32
2009-12,30
2010-01,31
2010-02,25
2010-03,27
2010-04,35
2010-05,30
2010-06,28
2010-07,28
2010-08,28
2010-09,27
2010-10,28
2010-11,31
2010-12,29
2011-01,20
2011-02,17
2011-03,17
2011-04,19
2011-05,19
2011-06,28
2011-07,27
2011-08,31
2011-09,27
2011-10,27
2011-11,24
2011-12,24
2012-01,14
2012-02,17
2012-03,23
2012-04,22
2012-05,26
2012-06,25
2012-07,21
2012-08,33
2012-09,35
2012-10,39
2012-11,35
2012-12,26
2013-01,33
2013-02,24
2013-03,21
2013-04,17
2013-05,23
2013-06,25
2013-07,22
2013-08,24
2013-09,27
2013-10,32
2013-11,26
2013-12,32
2014-01,23
2014-02,19
2014-03,24
2014-04,23
2014-05,23
2014-06,16
2014-07,14
2014-08,19
2014-09,22
2014-10,24
2014-11,32
2014-12,33
2015-01,28
2015-02,17
2015-03,21
2015-04,21
2015-05,19
2015-06,15
2015-07,17
2015-08,18
2015-09,26
2015-10,35
2015-11,32
2015-12,32
2016-01,34
2016-02,22
2016-03,23
2016-04,26
2016-05,21
2016-06,19
2016-07,24
2016-08,23
2016-09,30
2016-10,39
2016-11,35
2016-12,32
2017-01,19
2017-02,19
2017-03,23
2017-04,24
2017-05,27
2017-06,14
2017-07,15
2017-08,24
2017-09,27
2017-10,34
2017-11,26
2017-12,40
2018-01,28
2018-02,13
2018-03,23
2018-04,25
2018-05,29
2018-06,19
2018-07,14
2018-08,17
2018-09,31
2018-10,27
2018-11,27
2018-12,25
2019-01,16
2019-02,13
2019-03,16
2019-04,16
2019-05,21
2019-06,20
2019-07,34
2019-08,23
2019-09,24
2019-10,27
2019-11,24
2019-12,22
2020-01,15
2020-02,13
2020-03,13
2020-04,19
2020-05,21
2020-06,23
2020-07,19
2020-08,17
2020-09,19
2020-10,23
2020-11,21
2020-12,24
2021-01,21
2021-02,13
2021-03,21
2021-04,17
2021-05,16
2021-06,16
2021-07,15
2021-08,17
2021-09,58
2021-10,53
2021-11,33
2021-12,34
2022-01,26
2022-02,20
2022-03,24
2022-04,26
2022-05,25
2022-06,32
2022-07,22
2022-08,20
2022-09,25
2022-10,30
2022-11,28
2022-12,31
2023-01,22
2023-02,29
2023-03,25
2023-04,25
2023-05,27
2023-06,24
2023-07,23
2023-08,28
2023-09,28
2023-10,30
2023-11,56
2023-12,30
2024-01,24
2024-02,14
2024-03,27
2024-04,29
2024-05,32
2024-06,25
2024-07,29
2024-08,29
2024-09,32
2024-10,40
2024-11,33
2024-12,28
2025-01,16
2025-02,15
