date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,40
2007-01,36
2007-02,0
2007-03,38
2007-04,36
2007-05,36
2007-06,60
2007-07,29
2007-08,20
2007-09,41
2007-10,29
2007-11,36
2007-12,24
2008-01,35
2008-02,35
2008-03,27
2008-04,32
2008-05,28
2008-06,17
2008-07,32
2008-08,41
2008-09,58
2008-10,52
2008-11,44
2008-12,31
2009-01,29
2009-02,29
2009-03,55
2009-04,69
2009-05,41
2009-06,41
2009-07,40
2009-08,26
2009-09,34
2009-10,38
2009-11,32
2009-12,36
2010-01,37
2010-02,28
2010-03,25
2010-04,26
2010-05,37
2010-06,28
2010-07,22
2010-08,30
2010-09,29
2010-10,28
2010-11,25
2010-12,25
2011-01,25
2011-02,26
2011-03,35
2011-04,31
2011-05,28
2011-06,81
2011-07,41
2011-08,46
2011-09,31
2011-10,29
2011-11,28
2011-12,41
2012-01,27
2012-02,32
2012-03,32
2012-04,52
2012-05,36
2012-06,28
2012-07,33
2012-08,34
2012-09,27
2012-10,30
2012-11,23
2012-12,47
2013-01,35
2013-02,38
2013-03,36
2013-04,50
2013-05,32
2013-06,31
2013-07,27
2013-08,30
2013-09,32
2013-10,26
2013-11,27
2013-12,25
2014-01,24
2014-02,26
2014-03,25
2014-04,25
2014-05,60
2014-06,45
2014-07,45
2014-08,28
2014-09,28
2014-10,26
2014-11,27
2014-12,26
2015-01,27
2015-02,28
2015-03,31
2015-04,30
2015-05,30
2015-06,32
2015-07,26
2015-08,27
2015-09,27
2015-10,41
2015-11,40
2015-12,39
2016-01,35
2016-02,39
2016-03,38
2016-04,34
2016-05,31
2016-06,32
2016-07,40
2016-08,39
2016-09,37
2016-10,32
2016-11,31
2016-12,30
2017-01,33
2017-02,37
2017-03,39
2017-04,89
2017-05,46
2017-06,36
2017-07,39
2017-08,42
2017-09,54
2017-10,36
2017-11,38
2017-12,47
2018-01,34
2018-02,36
2018-03,35
2018-04,58
2018-05,41
2018-06,26
2018-07,28
2018-08,30
2018-09,34
2018-10,35
2018-11,33
2018-12,30
2019-01,34
2019-02,34
2019-03,37
2019-04,34
2019-05,35
2019-06,35
2019-07,34
2019-08,40
2019-09,35
2019-10,36
2019-11,32
2019-12,33
2020-01,53
2020-02,32
2020-03,34
2020-04,42
2020-05,41
2020-06,42
2020-07,38
2020-08,33
2020-09,38
2020-10,39
2020-11,35
2020-12,35
2021-01,45
2021-02,38
2021-03,42
2021-04,40
2021-05,74
2021-06,29
2021-07,32
2021-08,29
2021-09,29
2021-10,37
2021-11,41
2021-12,49
2022-01,60
2022-02,70
2022-03,100
2022-04,67
2022-05,55
2022-06,48
2022-07,44
2022-08,45
2022-09,44
2022-10,55
2022-11,52
2022-12,57
2023-01,37
2023-02,46
2023-03,54
2023-04,58
2023-05,50
2023-06,41
2023-07,40
2023-08,44
2023-09,42
2023-10,50
2023-11,46
2023-12,46
2024-01,45
2024-02,40
2024-03,54
2024-04,57
2024-05,47
2024-06,41
2024-07,35
2024-08,44
2024-09,46
2024-10,67
2024-11,81
2024-12,65
2025-01,41
2025-02,42
