date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,100
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,18
2007-09,28
2007-10,24
2007-11,27
2007-12,0
2008-01,0
2008-02,0
2008-03,14
2008-04,15
2008-05,0
2008-06,16
2008-07,12
2008-08,30
2008-09,29
2008-10,26
2008-11,18
2008-12,14
2009-01,13
2009-02,11
2009-03,13
2009-04,16
2009-05,22
2009-06,18
2009-07,12
2009-08,14
2009-09,17
2009-10,14
2009-11,17
2009-12,13
2010-01,12
2010-02,11
2010-03,12
2010-04,14
2010-05,12
2010-06,14
2010-07,8
2010-08,11
2010-09,11
2010-10,13
2010-11,12
2010-12,12
2011-01,8
2011-02,7
2011-03,13
2011-04,15
2011-05,13
2011-06,21
2011-07,9
2011-08,9
2011-09,12
2011-10,13
2011-11,11
2011-12,9
2012-01,8
2012-02,10
2012-03,11
2012-04,14
2012-05,12
2012-06,10
2012-07,9
2012-08,10
2012-09,12
2012-10,14
2012-11,13
2012-12,12
2013-01,10
2013-02,7
2013-03,13
2013-04,13
2013-05,12
2013-06,8
2013-07,7
2013-08,9
2013-09,13
2013-10,15
2013-11,12
2013-12,11
2014-01,8
2014-02,9
2014-03,12
2014-04,12
2014-05,17
2014-06,12
2014-07,9
2014-08,9
2014-09,13
2014-10,14
2014-11,12
2014-12,12
2015-01,9
2015-02,7
2015-03,10
2015-04,13
2015-05,13
2015-06,10
2015-07,9
2015-08,9
2015-09,13
2015-10,16
2015-11,15
2015-12,14
2016-01,9
2016-02,8
2016-03,12
2016-04,14
2016-05,12
2016-06,9
2016-07,8
2016-08,9
2016-09,14
2016-10,17
2016-11,16
2016-12,14
2017-01,10
2017-02,12
2017-03,14
2017-04,14
2017-05,12
2017-06,10
2017-07,8
2017-08,10
2017-09,16
2017-10,17
2017-11,15
2017-12,16
2018-01,12
2018-02,8
2018-03,13
2018-04,16
2018-05,13
2018-06,10
2018-07,8
2018-08,9
2018-09,15
2018-10,18
2018-11,14
2018-12,14
2019-01,10
2019-02,10
2019-03,13
2019-04,13
2019-05,12
2019-06,11
2019-07,9
2019-08,11
2019-09,17
2019-10,20
2019-11,14
2019-12,16
2020-01,10
2020-02,8
2020-03,11
2020-04,19
2020-05,15
2020-06,25
2020-07,14
2020-08,12
2020-09,18
2020-10,24
2020-11,20
2020-12,23
2021-01,13
2021-02,8
2021-03,16
2021-04,18
2021-05,25
2021-06,17
2021-07,14
2021-08,15
2021-09,23
2021-10,46
2021-11,50
2021-12,46
2022-01,39
2022-02,64
2022-03,51
2022-04,40
2022-05,33
2022-06,24
2022-07,17
2022-08,20
2022-09,32
2022-10,43
2022-11,38
2022-12,37
2023-01,17
2023-02,24
2023-03,34
2023-04,34
2023-05,31
2023-06,24
2023-07,18
2023-08,19
2023-09,28
2023-10,72
2023-11,60
2023-12,55
2024-01,32
2024-02,21
2024-03,38
2024-04,36
2024-05,33
2024-06,28
2024-07,22
2024-08,48
2024-09,43
2024-10,80
2024-11,98
2024-12,81
2025-01,39
2025-02,30
