date,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,93
2005-06,100
2005-07,44
2005-08,0
2005-09,0
2005-10,34
2005-11,43
2005-12,75
2006-01,0
2006-02,34
2006-03,49
2006-04,57
2006-05,40
2006-06,40
2006-07,19
2006-08,32
2006-09,47
2006-10,46
2006-11,57
2006-12,55
2007-01,43
2007-02,23
2007-03,33
2007-04,45
2007-05,61
2007-06,37
2007-07,26
2007-08,23
2007-09,33
2007-10,40
2007-11,61
2007-12,48
2008-01,40
2008-02,25
2008-03,39
2008-04,42
2008-05,43
2008-06,37
2008-07,22
2008-08,32
2008-09,37
2008-10,42
2008-11,42
2008-12,40
2009-01,22
2009-02,39
2009-03,46
2009-04,51
2009-05,37
2009-06,27
2009-07,21
2009-08,25
2009-09,34
2009-10,38
2009-11,36
2009-12,31
2010-01,34
2010-02,18
2010-03,37
2010-04,39
2010-05,39
2010-06,32
2010-07,17
2010-08,20
2010-09,26
2010-10,34
2010-11,41
2010-12,33
2011-01,26
2011-02,22
2011-03,29
2011-04,35
2011-05,32
2011-06,25
2011-07,15
2011-08,20
2011-09,27
2011-10,36
2011-11,33
2011-12,28
2012-01,17
2012-02,22
2012-03,27
2012-04,28
2012-05,29
2012-06,21
2012-07,17
2012-08,23
2012-09,26
2012-10,35
2012-11,33
2012-12,28
2013-01,28
2013-02,18
2013-03,34
2013-04,32
2013-05,33
2013-06,24
2013-07,19
2013-08,30
2013-09,35
2013-10,38
2013-11,38
2013-12,35
2014-01,27
2014-02,29
2014-03,37
2014-04,37
2014-05,31
2014-06,28
2014-07,22
2014-08,31
2014-09,35
2014-10,38
2014-11,41
2014-12,33
2015-01,29
2015-02,21
2015-03,34
2015-04,31
2015-05,33
2015-06,24
2015-07,21
2015-08,27
2015-09,31
2015-10,37
2015-11,35
2015-12,35
2016-01,28
2016-02,21
2016-03,30
2016-04,36
2016-05,29
2016-06,25
2016-07,22
2016-08,31
2016-09,37
2016-10,40
2016-11,40
2016-12,38
2017-01,33
2017-02,35
2017-03,35
2017-04,36
2017-05,31
2017-06,23
2017-07,21
2017-08,24
2017-09,31
2017-10,34
2017-11,52
2017-12,42
2018-01,32
2018-02,24
2018-03,31
2018-04,37
2018-05,34
2018-06,25
2018-07,21
2018-08,28
2018-09,37
2018-10,38
2018-11,45
2018-12,38
2019-01,33
2019-02,25
2019-03,34
2019-04,36
2019-05,32
2019-06,24
2019-07,22
2019-08,26
2019-09,31
2019-10,34
2019-11,39
2019-12,37
2020-01,29
2020-02,26
2020-03,31
2020-04,49
2020-05,45
2020-06,50
2020-07,37
2020-08,29
2020-09,30
2020-10,35
2020-11,44
2020-12,49
2021-01,40
2021-02,31
2021-03,47
2021-04,50
2021-05,55
2021-06,44
2021-07,25
2021-08,28
2021-09,35
2021-10,67
2021-11,86
2021-12,83
2022-01,81
2022-02,57
2022-03,90
2022-04,88
2022-05,67
2022-06,52
2022-07,34
2022-08,37
2022-09,47
2022-10,63
2022-11,60
2022-12,60
2023-01,42
2023-02,58
2023-03,68
2023-04,76
2023-05,62
2023-06,54
2023-07,41
2023-08,40
2023-09,49
2023-10,63
2023-11,67
2023-12,58
2024-01,53
2024-02,44
2024-03,71
2024-04,74
2024-05,75
2024-06,56
2024-07,45
2024-08,50
2024-09,56
2024-10,73
2024-11,73
2024-12,80
2025-01,68
2025-02,67
