date,interest
2004-01,97
2004-02,96
2004-03,97
2004-04,100
2004-05,98
2004-06,94
2004-07,95
2004-08,93
2004-09,96
2004-10,97
2004-11,89
2004-12,97
2005-01,89
2005-02,90
2005-03,85
2005-04,82
2005-05,92
2005-06,83
2005-07,85
2005-08,89
2005-09,98
2005-10,88
2005-11,92
2005-12,89
2006-01,86
2006-02,82
2006-03,79
2006-04,80
2006-05,78
2006-06,75
2006-07,78
2006-08,78
2006-09,79
2006-10,78
2006-11,75
2006-12,74
2007-01,68
2007-02,70
2007-03,70
2007-04,73
2007-05,66
2007-06,67
2007-07,72
2007-08,74
2007-09,69
2007-10,71
2007-11,70
2007-12,71
2008-01,70
2008-02,69
2008-03,82
2008-04,66
2008-05,66
2008-06,69
2008-07,68
2008-08,69
2008-09,67
2008-10,68
2008-11,66
2008-12,68
2009-01,67
2009-02,67
2009-03,70
2009-04,67
2009-05,68
2009-06,68
2009-07,66
2009-08,70
2009-09,63
2009-10,66
2009-11,70
2009-12,69
2010-01,69
2010-02,65
2010-03,66
2010-04,64
2010-05,64
2010-06,64
2010-07,62
2010-08,68
2010-09,61
2010-10,62
2010-11,63
2010-12,65
2011-01,63
2011-02,59
2011-03,63
2011-04,61
2011-05,61
2011-06,61
2011-07,60
2011-08,61
2011-09,64
2011-10,60
2011-11,61
2011-12,62
2012-01,59
2012-02,58
2012-03,57
2012-04,58
2012-05,58
2012-06,60
2012-07,55
2012-08,59
2012-09,60
2012-10,59
2012-11,59
2012-12,59
2013-01,58
2013-02,57
2013-03,62
2013-04,58
2013-05,58
2013-06,58
2013-07,60
2013-08,58
2013-09,55
2013-10,56
2013-11,56
2013-12,57
2014-01,55
2014-02,55
2014-03,54
2014-04,56
2014-05,57
2014-06,56
2014-07,57
2014-08,61
2014-09,57
2014-10,58
2014-11,55
2014-12,62
2015-01,55
2015-02,56
2015-03,55
2015-04,54
2015-05,55
2015-06,56
2015-07,56
2015-08,58
2015-09,58
2015-10,60
2015-11,56
2015-12,66
2016-01,59
2016-02,56
2016-03,52
2016-04,54
2016-05,58
2016-06,60
2016-07,59
2016-08,56
2016-09,65
2016-10,68
2016-11,62
2016-12,68
2017-01,60
2017-02,56
2017-03,57
2017-04,55
2017-05,56
2017-06,56
2017-07,57
2017-08,56
2017-09,59
2017-10,58
2017-11,58
2017-12,63
2018-01,57
2018-02,56
2018-03,56
2018-04,54
2018-05,52
2018-06,53
2018-07,54
2018-08,59
2018-09,57
2018-10,58
2018-11,59
2018-12,62
2019-01,55
2019-02,66
2019-03,56
2019-04,52
2019-05,52
2019-06,54
2019-07,54
2019-08,57
2019-09,57
2019-10,55
2019-11,58
2019-12,61
2020-01,61
2020-02,55
2020-03,51
2020-04,50
2020-05,55
2020-06,60
2020-07,59
2020-08,55
2020-09,53
2020-10,53
2020-11,52
2020-12,60
2021-01,57
2021-02,53
2021-03,50
2021-04,54
2021-05,72
2021-06,56
2021-07,57
2021-08,58
2021-09,51
2021-10,54
2021-11,59
2021-12,59
2022-01,60
2022-02,61
2022-03,60
2022-04,54
2022-05,51
2022-06,58
2022-07,64
2022-08,60
2022-09,57
2022-10,56
2022-11,53
2022-12,52
2023-01,54
2023-02,53
2023-03,48
2023-04,48
2023-05,53
2023-06,48
2023-07,51
2023-08,46
2023-09,50
2023-10,48
2023-11,46
2023-12,51
2024-01,47
2024-02,53
2024-03,47
2024-04,49
2024-05,51
2024-06,46
2024-07,46
2024-08,50
2024-09,47
2024-10,51
2024-11,53
2024-12,54
