date,interest
2004-01,50
2004-02,56
2004-03,62
2004-04,58
2004-05,60
2004-06,45
2004-07,42
2004-08,41
2004-09,49
2004-10,47
2004-11,56
2004-12,51
2005-01,49
2005-02,48
2005-03,47
2005-04,48
2005-05,52
2005-06,41
2005-07,81
2005-08,50
2005-09,41
2005-10,46
2005-11,43
2005-12,41
2006-01,40
2006-02,46
2006-03,45
2006-04,44
2006-05,44
2006-06,40
2006-07,40
2006-08,41
2006-09,38
2006-10,42
2006-11,36
2006-12,36
2007-01,38
2007-02,49
2007-03,45
2007-04,47
2007-05,46
2007-06,43
2007-07,44
2007-08,38
2007-09,46
2007-10,37
2007-11,38
2007-12,40
2008-01,37
2008-02,39
2008-03,40
2008-04,38
2008-05,40
2008-06,36
2008-07,43
2008-08,36
2008-09,41
2008-10,39
2008-11,40
2008-12,44
2009-01,41
2009-02,40
2009-03,42
2009-04,41
2009-05,44
2009-06,40
2009-07,40
2009-08,42
2009-09,41
2009-10,44
2009-11,44
2009-12,49
2010-01,47
2010-02,45
2010-03,52
2010-04,48
2010-05,59
2010-06,47
2010-07,48
2010-08,46
2010-09,44
2010-10,43
2010-11,47
2010-12,48
2011-01,46
2011-02,42
2011-03,50
2011-04,46
2011-05,48
2011-06,42
2011-07,48
2011-08,44
2011-09,43
2011-10,42
2011-11,49
2011-12,54
2012-01,51
2012-02,47
2012-03,51
2012-04,51
2012-05,46
2012-06,43
2012-07,46
2012-08,40
2012-09,44
2012-10,43
2012-11,42
2012-12,47
2013-01,40
2013-02,48
2013-03,46
2013-04,100
2013-05,44
2013-06,37
2013-07,41
2013-08,39
2013-09,38
2013-10,37
2013-11,39
2013-12,42
2014-01,38
2014-02,37
2014-03,39
2014-04,42
2014-05,45
2014-06,40
2014-07,41
2014-08,40
2014-09,37
2014-10,37
2014-11,37
2014-12,46
2015-01,43
2015-02,40
2015-03,40
2015-04,44
2015-05,41
2015-06,42
2015-07,45
2015-08,51
2015-09,40
2015-10,40
2015-11,57
2015-12,55
2016-01,52
2016-02,43
2016-03,47
2016-04,41
2016-05,42
2016-06,40
2016-07,43
2016-08,38
2016-09,49
2016-10,44
2016-11,39
2016-12,45
2017-01,41
2017-02,41
2017-03,43
2017-04,72
2017-05,55
2017-06,41
2017-07,36
2017-08,40
2017-09,47
2017-10,37
2017-11,37
2017-12,44
2018-01,44
2018-02,38
2018-03,42
2018-04,39
2018-05,39
2018-06,33
2018-07,33
2018-08,36
2018-09,33
2018-10,42
2018-11,36
2018-12,43
2019-01,33
2019-02,39
2019-03,40
2019-04,39
2019-05,34
2019-06,32
2019-07,30
2019-08,33
2019-09,31
2019-10,32
2019-11,33
2019-12,34
2020-01,37
2020-02,31
2020-03,29
2020-04,34
2020-05,35
2020-06,32
2020-07,33
2020-08,43
2020-09,31
2020-10,37
2020-11,50
2020-12,65
2021-01,34
2021-02,32
2021-03,31
2021-04,29
2021-05,29
2021-06,28
2021-07,31
2021-08,31
2021-09,26
2021-10,31
2021-11,33
2021-12,35
2022-01,38
2022-02,50
2022-03,57
2022-04,35
2022-05,33
2022-06,30
2022-07,31
2022-08,30
2022-09,31
2022-10,35
2022-11,31
2022-12,37
2023-01,34
2023-02,35
2023-03,33
2023-04,31
2023-05,32
2023-06,31
2023-07,46
2023-08,39
2023-09,32
2023-10,40
2023-11,38
2023-12,41
2024-01,35
2024-02,38
2024-03,39
2024-04,38
2024-05,37
2024-06,32
2024-07,31
2024-08,32
2024-09,33
2024-10,39
2024-11,43
2024-12,36
