date,interest
2004-01,80
2004-02,79
2004-03,82
2004-04,91
2004-05,83
2004-06,65
2004-07,54
2004-08,56
2004-09,97
2004-10,91
2004-11,87
2004-12,73
2005-01,63
2005-02,72
2005-03,74
2005-04,77
2005-05,72
2005-06,57
2005-07,51
2005-08,53
2005-09,60
2005-10,75
2005-11,71
2005-12,57
2006-01,58
2006-02,65
2006-03,62
2006-04,65
2006-05,61
2006-06,49
2006-07,52
2006-08,50
2006-09,53
2006-10,57
2006-11,58
2006-12,52
2007-01,52
2007-02,54
2007-03,55
2007-04,61
2007-05,58
2007-06,51
2007-07,64
2007-08,62
2007-09,100
2007-10,95
2007-11,76
2007-12,68
2008-01,65
2008-02,74
2008-03,67
2008-04,64
2008-05,58
2008-06,49
2008-07,47
2008-08,58
2008-09,55
2008-10,62
2008-11,60
2008-12,53
2009-01,62
2009-02,57
2009-03,59
2009-04,56
2009-05,55
2009-06,46
2009-07,40
2009-08,42
2009-09,50
2009-10,52
2009-11,56
2009-12,47
2010-01,46
2010-02,48
2010-03,51
2010-04,50
2010-05,50
2010-06,44
2010-07,37
2010-08,38
2010-09,43
2010-10,46
2010-11,48
2010-12,39
2011-01,40
2011-02,45
2011-03,49
2011-04,46
2011-05,46
2011-06,38
2011-07,34
2011-08,36
2011-09,43
2011-10,47
2011-11,42
2011-12,37
2012-01,36
2012-02,42
2012-03,42
2012-04,44
2012-05,41
2012-06,34
2012-07,32
2012-08,34
2012-09,44
2012-10,45
2012-11,51
2012-12,35
2013-01,39
2013-02,40
2013-03,46
2013-04,46
2013-05,40
2013-06,34
2013-07,43
2013-08,50
2013-09,54
2013-10,47
2013-11,46
2013-12,39
2014-01,42
2014-02,47
2014-03,46
2014-04,45
2014-05,45
2014-06,37
2014-07,55
2014-08,44
2014-09,47
2014-10,47
2014-11,46
2014-12,38
2015-01,41
2015-02,47
2015-03,47
2015-04,44
2015-05,44
2015-06,38
2015-07,32
2015-08,33
2015-09,46
2015-10,46
2015-11,46
2015-12,39
2016-01,41
2016-02,47
2016-03,44
2016-04,45
2016-05,44
2016-06,34
2016-07,29
2016-08,32
2016-09,45
2016-10,44
2016-11,42
2016-12,40
2017-01,41
2017-02,46
2017-03,47
2017-04,42
2017-05,42
2017-06,30
2017-07,28
2017-08,30
2017-09,41
2017-10,44
2017-11,43
2017-12,41
2018-01,37
2018-02,41
2018-03,40
2018-04,42
2018-05,40
2018-06,29
2018-07,25
2018-08,30
2018-09,39
2018-10,41
2018-11,39
2018-12,33
2019-01,35
2019-02,41
2019-03,41
2019-04,40
2019-05,39
2019-06,30
2019-07,27
2019-08,30
2019-09,40
2019-10,40
2019-11,39
2019-12,34
2020-01,41
2020-02,39
2020-03,38
2020-04,39
2020-05,39
2020-06,33
2020-07,30
2020-08,31
2020-09,48
2020-10,47
2020-11,39
2020-12,33
2021-01,35
2021-02,39
2021-03,39
2021-04,38
2021-05,61
2021-06,32
2021-07,26
2021-08,28
2021-09,36
2021-10,38
2021-11,38
2021-12,32
2022-01,40
2022-02,86
2022-03,74
2022-04,64
2022-05,55
2022-06,41
2022-07,33
2022-08,37
2022-09,53
2022-10,51
2022-11,49
2022-12,41
2023-01,46
2023-02,50
2023-03,51
2023-04,47
2023-05,50
2023-06,37
2023-07,31
2023-08,34
2023-09,48
2023-10,94
2023-11,55
2023-12,43
2024-01,46
2024-02,54
2024-03,50
2024-04,54
2024-05,49
2024-06,36
2024-07,31
2024-08,38
2024-09,46
2024-10,52
2024-11,47
2024-12,42
