date,interest
2004-01,100
2004-02,98
2004-03,87
2004-04,91
2004-05,86
2004-06,83
2004-07,88
2004-08,82
2004-09,82
2004-10,86
2004-11,86
2004-12,86
2005-01,88
2005-02,82
2005-03,83
2005-04,82
2005-05,81
2005-06,77
2005-07,84
2005-08,80
2005-09,83
2005-10,82
2005-11,80
2005-12,77
2006-01,74
2006-02,74
2006-03,69
2006-04,68
2006-05,67
2006-06,66
2006-07,65
2006-08,68
2006-09,68
2006-10,78
2006-11,65
2006-12,73
2007-01,66
2007-02,63
2007-03,62
2007-04,63
2007-05,66
2007-06,69
2007-07,65
2007-08,67
2007-09,83
2007-10,75
2007-11,66
2007-12,63
2008-01,59
2008-02,57
2008-03,59
2008-04,52
2008-05,48
2008-06,51
2008-07,48
2008-08,48
2008-09,44
2008-10,60
2008-11,53
2008-12,62
2009-01,59
2009-02,52
2009-03,54
2009-04,66
2009-05,78
2009-06,68
2009-07,70
2009-08,62
2009-09,54
2009-10,53
2009-11,54
2009-12,58
2010-01,54
2010-02,50
2010-03,46
2010-04,46
2010-05,48
2010-06,41
2010-07,42
2010-08,44
2010-09,41
2010-10,44
2010-11,40
2010-12,41
2011-01,41
2011-02,37
2011-03,39
2011-04,42
2011-05,42
2011-06,40
2011-07,41
2011-08,38
2011-09,36
2011-10,37
2011-11,38
2011-12,37
2012-01,44
2012-02,38
2012-03,38
2012-04,38
2012-05,39
2012-06,37
2012-07,37
2012-08,40
2012-09,46
2012-10,82
2012-11,51
2012-12,46
2013-01,45
2013-02,39
2013-03,37
2013-04,41
2013-05,39
2013-06,42
2013-07,41
2013-08,43
2013-09,38
2013-10,39
2013-11,47
2013-12,43
2014-01,42
2014-02,43
2014-03,45
2014-04,50
2014-05,52
2014-06,72
2014-07,57
2014-08,52
2014-09,45
2014-10,47
2014-11,42
2014-12,43
2015-01,48
2015-02,42
2015-03,41
2015-04,40
2015-05,38
2015-06,39
2015-07,38
2015-08,44
2015-09,39
2015-10,38
2015-11,38
2015-12,41
2016-01,41
2016-02,42
2016-03,35
2016-04,35
2016-05,35
2016-06,36
2016-07,35
2016-08,32
2016-09,32
2016-10,32
2016-11,36
2016-12,35
2017-01,34
2017-02,34
2017-03,34
2017-04,33
2017-05,33
2017-06,31
2017-07,35
2017-08,38
2017-09,36
2017-10,36
2017-11,37
2017-12,33
2018-01,34
2018-02,33
2018-03,35
2018-04,32
2018-05,31
2018-06,31
2018-07,34
2018-08,32
2018-09,31
2018-10,30
2018-11,33
2018-12,33
2019-01,34
2019-02,39
2019-03,39
2019-04,38
2019-05,36
2019-06,33
2019-07,32
2019-08,31
2019-09,32
2019-10,30
2019-11,28
2019-12,32
2020-01,31
2020-02,31
2020-03,38
2020-04,44
2020-05,43
2020-06,39
2020-07,39
2020-08,35
2020-09,35
2020-10,33
2020-11,30
2020-12,32
2021-01,32
2021-02,31
2021-03,31
2021-04,31
2021-05,32
2021-06,31
2021-07,33
2021-08,34
2021-09,31
2021-10,32
2021-11,53
2021-12,53
2022-01,54
2022-02,55
2022-03,54
2022-04,48
2022-05,45
2022-06,43
2022-07,41
2022-08,40
2022-09,41
2022-10,40
2022-11,37
2022-12,36
2023-01,40
2023-02,45
2023-03,42
2023-04,38
2023-05,40
2023-06,39
2023-07,39
2023-08,41
2023-09,41
2023-10,39
2023-11,39
2023-12,40
2024-01,40
2024-02,44
2024-03,46
2024-04,39
2024-05,40
2024-06,41
2024-07,41
2024-08,43
2024-09,40
2024-10,43
2024-11,42
2024-12,52
