date,interest
2004-01,41
2004-02,47
2004-03,55
2004-04,53
2004-05,53
2004-06,44
2004-07,36
2004-08,33
2004-09,38
2004-10,41
2004-11,40
2004-12,34
2005-01,35
2005-02,37
2005-03,42
2005-04,45
2005-05,48
2005-06,38
2005-07,34
2005-08,39
2005-09,54
2005-10,60
2005-11,52
2005-12,58
2006-01,58
2006-02,59
2006-03,66
2006-04,62
2006-05,74
2006-06,54
2006-07,50
2006-08,56
2006-09,61
2006-10,48
2006-11,47
2006-12,45
2007-01,46
2007-02,45
2007-03,47
2007-04,47
2007-05,50
2007-06,49
2007-07,49
2007-08,65
2007-09,51
2007-10,58
2007-11,53
2007-12,56
2008-01,55
2008-02,52
2008-03,54
2008-04,53
2008-05,53
2008-06,46
2008-07,48
2008-08,45
2008-09,43
2008-10,46
2008-11,44
2008-12,42
2009-01,43
2009-02,42
2009-03,49
2009-04,46
2009-05,51
2009-06,41
2009-07,39
2009-08,40
2009-09,39
2009-10,38
2009-11,42
2009-12,39
2010-01,37
2010-02,36
2010-03,39
2010-04,41
2010-05,43
2010-06,35
2010-07,32
2010-08,32
2010-09,35
2010-10,38
2010-11,41
2010-12,33
2011-01,33
2011-02,32
2011-03,55
2011-04,56
2011-05,40
2011-06,38
2011-07,37
2011-08,35
2011-09,34
2011-10,37
2011-11,33
2011-12,31
2012-01,31
2012-02,32
2012-03,34
2012-04,36
2012-05,37
2012-06,37
2012-07,32
2012-08,36
2012-09,34
2012-10,33
2012-11,31
2012-12,31
2013-01,33
2013-02,37
2013-03,37
2013-04,38
2013-05,38
2013-06,38
2013-07,31
2013-08,30
2013-09,28
2013-10,29
2013-11,29
2013-12,29
2014-01,30
2014-02,33
2014-03,37
2014-04,35
2014-05,36
2014-06,35
2014-07,33
2014-08,30
2014-09,32
2014-10,31
2014-11,34
2014-12,33
2015-01,30
2015-02,30
2015-03,32
2015-04,33
2015-05,33
2015-06,26
2015-07,26
2015-08,28
2015-09,28
2015-10,30
2015-11,29
2015-12,28
2016-01,28
2016-02,33
2016-03,30
2016-04,31
2016-05,30
2016-06,27
2016-07,24
2016-08,30
2016-09,26
2016-10,26
2016-11,26
2016-12,28
2017-01,28
2017-02,29
2017-03,30
2017-04,31
2017-05,30
2017-06,24
2017-07,22
2017-08,24
2017-09,25
2017-10,24
2017-11,24
2017-12,24
2018-01,24
2018-02,25
2018-03,27
2018-04,34
2018-05,30
2018-06,23
2018-07,22
2018-08,22
2018-09,22
2018-10,23
2018-11,23
2018-12,20
2019-01,23
2019-02,24
2019-03,24
2019-04,26
2019-05,25
2019-06,24
2019-07,25
2019-08,21
2019-09,21
2019-10,23
2019-11,20
2019-12,20
2020-01,22
2020-02,23
2020-03,24
2020-04,28
2020-05,29
2020-06,23
2020-07,22
2020-08,20
2020-09,21
2020-10,20
2020-11,19
2020-12,20
2021-01,25
2021-02,24
2021-03,36
2021-04,30
2021-05,26
2021-06,24
2021-07,23
2021-08,23
2021-09,22
2021-10,29
2021-11,29
2021-12,31
2022-01,32
2022-02,100
2022-03,74
2022-04,43
2022-05,40
2022-06,30
2022-07,30
2022-08,26
2022-09,32
2022-10,29
2022-11,28
2022-12,26
2023-01,28
2023-02,31
2023-03,32
2023-04,33
2023-05,32
2023-06,78
2023-07,83
2023-08,48
2023-09,41
2023-10,45
2023-11,32
2023-12,28
2024-01,31
2024-02,31
2024-03,31
2024-04,32
2024-05,31
2024-06,28
2024-07,25
2024-08,28
2024-09,28
2024-10,29
2024-11,27
2024-12,28
