date,interest
2004-01,27
2004-02,29
2004-03,32
2004-04,43
2004-05,42
2004-06,30
2004-07,24
2004-08,27
2004-09,37
2004-10,32
2004-11,35
2004-12,34
2005-01,33
2005-02,31
2005-03,33
2005-04,31
2005-05,32
2005-06,28
2005-07,30
2005-08,31
2005-09,27
2005-10,28
2005-11,31
2005-12,29
2006-01,91
2006-02,31
2006-03,30
2006-04,32
2006-05,31
2006-06,30
2006-07,29
2006-08,29
2006-09,39
2006-10,30
2006-11,30
2006-12,28
2007-01,30
2007-02,27
2007-03,27
2007-04,31
2007-05,33
2007-06,30
2007-07,35
2007-08,30
2007-09,28
2007-10,28
2007-11,31
2007-12,32
2008-01,32
2008-02,32
2008-03,31
2008-04,30
2008-05,32
2008-06,29
2008-07,29
2008-08,28
2008-09,28
2008-10,31
2008-11,33
2008-12,31
2009-01,32
2009-02,32
2009-03,34
2009-04,35
2009-05,30
2009-06,32
2009-07,34
2009-08,33
2009-09,33
2009-10,36
2009-11,40
2009-12,33
2010-01,33
2010-02,47
2010-03,33
2010-04,34
2010-05,36
2010-06,35
2010-07,34
2010-08,39
2010-09,35
2010-10,37
2010-11,39
2010-12,43
2011-01,52
2011-02,36
2011-03,36
2011-04,38
2011-05,67
2011-06,39
2011-07,41
2011-08,42
2011-09,38
2011-10,48
2011-11,40
2011-12,41
2012-01,41
2012-02,41
2012-03,44
2012-04,41
2012-05,44
2012-06,40
2012-07,44
2012-08,44
2012-09,48
2012-10,47
2012-11,44
2012-12,53
2013-01,44
2013-02,46
2013-03,44
2013-04,46
2013-05,48
2013-06,45
2013-07,51
2013-08,48
2013-09,42
2013-10,44
2013-11,49
2013-12,46
2014-01,46
2014-02,49
2014-03,42
2014-04,51
2014-05,52
2014-06,45
2014-07,47
2014-08,54
2014-09,51
2014-10,46
2014-11,48
2014-12,57
2015-01,54
2015-02,61
2015-03,45
2015-04,51
2015-05,48
2015-06,47
2015-07,52
2015-08,57
2015-09,48
2015-10,47
2015-11,51
2015-12,46
2016-01,47
2016-02,49
2016-03,48
2016-04,54
2016-05,55
2016-06,64
2016-07,73
2016-08,50
2016-09,55
2016-10,50
2016-11,46
2016-12,47
2017-01,48
2017-02,48
2017-03,49
2017-04,53
2017-05,52
2017-06,49
2017-07,47
2017-08,46
2017-09,51
2017-10,48
2017-11,46
2017-12,44
2018-01,46
2018-02,52
2018-03,48
2018-04,48
2018-05,49
2018-06,54
2018-07,46
2018-08,47
2018-09,47
2018-10,49
2018-11,54
2018-12,47
2019-01,52
2019-02,53
2019-03,54
2019-04,56
2019-05,48
2019-06,46
2019-07,45
2019-08,53
2019-09,47
2019-10,50
2019-11,49
2019-12,48
2020-01,68
2020-02,51
2020-03,46
2020-04,54
2020-05,74
2020-06,100
2020-07,58
2020-08,56
2020-09,55
2020-10,49
2020-11,47
2020-12,47
2021-01,56
2021-02,52
2021-03,54
2021-04,68
2021-05,60
2021-06,53
2021-07,52
2021-08,55
2021-09,51
2021-10,51
2021-11,53
2021-12,50
2022-01,54
2022-02,56
2022-03,61
2022-04,54
2022-05,62
2022-06,56
2022-07,54
2022-08,55
2022-09,56
2022-10,59
2022-11,60
2022-12,51
2023-01,57
2023-02,57
2023-03,54
2023-04,53
2023-05,52
2023-06,51
2023-07,50
2023-08,48
2023-09,53
2023-10,59
2023-11,53
2023-12,53
2024-01,58
2024-02,58
2024-03,55
2024-04,57
2024-05,59
2024-06,53
2024-07,62
2024-08,58
2024-09,60
2024-10,59
2024-11,56
2024-12,64
