date,interest
2004-01,94
2004-02,87
2004-03,86
2004-04,100
2004-05,91
2004-06,84
2004-07,80
2004-08,74
2004-09,81
2004-10,80
2004-11,82
2004-12,75
2005-01,74
2005-02,77
2005-03,75
2005-04,74
2005-05,74
2005-06,71
2005-07,74
2005-08,71
2005-09,72
2005-10,75
2005-11,80
2005-12,96
2006-01,75
2006-02,73
2006-03,66
2006-04,67
2006-05,65
2006-06,60
2006-07,62
2006-08,66
2006-09,60
2006-10,62
2006-11,64
2006-12,57
2007-01,59
2007-02,56
2007-03,55
2007-04,56
2007-05,56
2007-06,52
2007-07,55
2007-08,54
2007-09,50
2007-10,53
2007-11,53
2007-12,50
2008-01,52
2008-02,52
2008-03,52
2008-04,52
2008-05,49
2008-06,47
2008-07,50
2008-08,50
2008-09,50
2008-10,49
2008-11,50
2008-12,48
2009-01,51
2009-02,50
2009-03,52
2009-04,50
2009-05,49
2009-06,45
2009-07,47
2009-08,51
2009-09,49
2009-10,49
2009-11,51
2009-12,47
2010-01,50
2010-02,48
2010-03,48
2010-04,46
2010-05,47
2010-06,46
2010-07,45
2010-08,46
2010-09,45
2010-10,48
2010-11,49
2010-12,47
2011-01,46
2011-02,43
2011-03,47
2011-04,49
2011-05,45
2011-06,44
2011-07,41
2011-08,44
2011-09,42
2011-10,42
2011-11,45
2011-12,45
2012-01,46
2012-02,45
2012-03,42
2012-04,43
2012-05,45
2012-06,44
2012-07,43
2012-08,43
2012-09,45
2012-10,46
2012-11,48
2012-12,43
2013-01,45
2013-02,43
2013-03,46
2013-04,43
2013-05,43
2013-06,40
2013-07,42
2013-08,42
2013-09,41
2013-10,40
2013-11,44
2013-12,43
2014-01,43
2014-02,44
2014-03,44
2014-04,43
2014-05,44
2014-06,41
2014-07,44
2014-08,42
2014-09,40
2014-10,40
2014-11,42
2014-12,42
2015-01,44
2015-02,42
2015-03,41
2015-04,41
2015-05,44
2015-06,41
2015-07,43
2015-08,43
2015-09,39
2015-10,40
2015-11,46
2015-12,43
2016-01,43
2016-02,42
2016-03,42
2016-04,43
2016-05,45
2016-06,40
2016-07,45
2016-08,38
2016-09,42
2016-10,41
2016-11,45
2016-12,42
2017-01,44
2017-02,44
2017-03,44
2017-04,46
2017-05,45
2017-06,42
2017-07,46
2017-08,42
2017-09,42
2017-10,43
2017-11,45
2017-12,43
2018-01,42
2018-02,44
2018-03,43
2018-04,43
2018-05,43
2018-06,41
2018-07,42
2018-08,39
2018-09,40
2018-10,41
2018-11,44
2018-12,42
2019-01,43
2019-02,43
2019-03,43
2019-04,44
2019-05,42
2019-06,41
2019-07,40
2019-08,41
2019-09,41
2019-10,42
2019-11,45
2019-12,42
2020-01,50
2020-02,42
2020-03,42
2020-04,40
2020-05,41
2020-06,43
2020-07,41
2020-08,38
2020-09,42
2020-10,39
2020-11,41
2020-12,38
2021-01,43
2021-02,37
2021-03,37
2021-04,40
2021-05,40
2021-06,37
2021-07,39
2021-08,42
2021-09,41
2021-10,36
2021-11,39
2021-12,38
2022-01,42
2022-02,58
2022-03,56
2022-04,47
2022-05,46
2022-06,42
2022-07,42
2022-08,44
2022-09,46
2022-10,44
2022-11,43
2022-12,42
2023-01,42
2023-02,45
2023-03,43
2023-04,43
2023-05,42
2023-06,40
2023-07,40
2023-08,42
2023-09,43
2023-10,48
2023-11,44
2023-12,44
2024-01,45
2024-02,49
2024-03,43
2024-04,47
2024-05,44
2024-06,45
2024-07,43
2024-08,46
2024-09,45
2024-10,46
2024-11,50
2024-12,47
