date,interest
2004-01,97
2004-02,100
2004-03,98
2004-04,92
2004-05,92
2004-06,86
2004-07,92
2004-08,83
2004-09,84
2004-10,81
2004-11,76
2004-12,70
2005-01,73
2005-02,70
2005-03,75
2005-04,67
2005-05,71
2005-06,71
2005-07,69
2005-08,60
2005-09,59
2005-10,61
2005-11,55
2005-12,55
2006-01,59
2006-02,59
2006-03,58
2006-04,56
2006-05,52
2006-06,50
2006-07,48
2006-08,42
2006-09,42
2006-10,46
2006-11,40
2006-12,32
2007-01,39
2007-02,34
2007-03,35
2007-04,34
2007-05,36
2007-06,37
2007-07,38
2007-08,32
2007-09,33
2007-10,31
2007-11,30
2007-12,30
2008-01,28
2008-02,30
2008-03,30
2008-04,27
2008-05,27
2008-06,28
2008-07,33
2008-08,25
2008-09,25
2008-10,24
2008-11,22
2008-12,22
2009-01,24
2009-02,24
2009-03,23
2009-04,23
2009-05,24
2009-06,22
2009-07,23
2009-08,21
2009-09,20
2009-10,20
2009-11,31
2009-12,31
2010-01,33
2010-02,35
2010-03,32
2010-04,34
2010-05,32
2010-06,32
2010-07,28
2010-08,27
2010-09,27
2010-10,25
2010-11,26
2010-12,24
2011-01,24
2011-02,22
2011-03,31
2011-04,25
2011-05,23
2011-06,25
2011-07,22
2011-08,22
2011-09,21
2011-10,23
2011-11,25
2011-12,23
2012-01,21
2012-02,21
2012-03,20
2012-04,20
2012-05,20
2012-06,19
2012-07,20
2012-08,20
2012-09,20
2012-10,19
2012-11,24
2012-12,21
2013-01,20
2013-02,21
2013-03,23
2013-04,32
2013-05,19
2013-06,18
2013-07,17
2013-08,17
2013-09,17
2013-10,16
2013-11,18
2013-12,16
2014-01,16
2014-02,16
2014-03,18
2014-04,19
2014-05,18
2014-06,16
2014-07,17
2014-08,17
2014-09,17
2014-10,16
2014-11,16
2014-12,16
2015-01,17
2015-02,23
2015-03,18
2015-04,18
2015-05,19
2015-06,18
2015-07,18
2015-08,20
2015-09,18
2015-10,18
2015-11,29
2015-12,24
2016-01,20
2016-02,22
2016-03,20
2016-04,19
2016-05,18
2016-06,17
2016-07,16
2016-08,16
2016-09,17
2016-10,20
2016-11,20
2016-12,17
2017-01,17
2017-02,17
2017-03,17
2017-04,27
2017-05,17
2017-06,14
2017-07,17
2017-08,21
2017-09,20
2017-10,16
2017-11,16
2017-12,15
2018-01,16
2018-02,15
2018-03,17
2018-04,17
2018-05,14
2018-06,13
2018-07,12
2018-08,12
2018-09,13
2018-10,13
2018-11,17
2018-12,16
2019-01,15
2019-02,15
2019-03,14
2019-04,14
2019-05,13
2019-06,14
2019-07,14
2019-08,20
2019-09,16
2019-10,15
2019-11,17
2019-12,16
2020-01,20
2020-02,15
2020-03,16
2020-04,18
2020-05,20
2020-06,17
2020-07,16
2020-08,20
2020-09,17
2020-10,16
2020-11,17
2020-12,16
2021-01,17
2021-02,16
2021-03,16
2021-04,22
2021-05,15
2021-06,16
2021-07,15
2021-08,15
2021-09,14
2021-10,14
2021-11,14
2021-12,15
2022-01,18
2022-02,44
2022-03,38
2022-04,24
2022-05,22
2022-06,18
2022-07,20
2022-08,19
2022-09,21
2022-10,27
2022-11,23
2022-12,22
2023-01,24
2023-02,25
2023-03,20
2023-04,22
2023-05,20
2023-06,21
2023-07,25
2023-08,22
2023-09,20
2023-10,22
2023-11,20
2023-12,19
2024-01,23
2024-02,23
2024-03,23
2024-04,28
2024-05,27
2024-06,24
2024-07,21
2024-08,21
2024-09,22
2024-10,23
2024-11,29
2024-12,28
