date,interest
2004-01,63
2004-02,68
2004-03,100
2004-04,95
2004-05,81
2004-06,63
2004-07,56
2004-08,56
2004-09,85
2004-10,80
2004-11,75
2004-12,58
2005-01,47
2005-02,56
2005-03,52
2005-04,60
2005-05,52
2005-06,39
2005-07,70
2005-08,47
2005-09,49
2005-10,56
2005-11,63
2005-12,44
2006-01,36
2006-02,45
2006-03,49
2006-04,43
2006-05,45
2006-06,34
2006-07,29
2006-08,40
2006-09,51
2006-10,44
2006-11,43
2006-12,33
2007-01,29
2007-02,31
2007-03,33
2007-04,36
2007-05,34
2007-06,25
2007-07,29
2007-08,25
2007-09,31
2007-10,34
2007-11,35
2007-12,27
2008-01,26
2008-02,27
2008-03,28
2008-04,30
2008-05,30
2008-06,21
2008-07,18
2008-08,19
2008-09,27
2008-10,30
2008-11,33
2008-12,36
2009-01,29
2009-02,27
2009-03,28
2009-04,30
2009-05,27
2009-06,22
2009-07,18
2009-08,19
2009-09,23
2009-10,25
2009-11,28
2009-12,24
2010-01,26
2010-02,26
2010-03,26
2010-04,25
2010-05,28
2010-06,19
2010-07,16
2010-08,18
2010-09,22
2010-10,23
2010-11,24
2010-12,19
2011-01,20
2011-02,19
2011-03,20
2011-04,21
2011-05,28
2011-06,17
2011-07,18
2011-08,16
2011-09,23
2011-10,19
2011-11,20
2011-12,17
2012-01,16
2012-02,17
2012-03,17
2012-04,17
2012-05,19
2012-06,13
2012-07,14
2012-08,13
2012-09,18
2012-10,17
2012-11,17
2012-12,13
2013-01,14
2013-02,17
2013-03,16
2013-04,31
2013-05,22
2013-06,14
2013-07,12
2013-08,13
2013-09,16
2013-10,16
2013-11,17
2013-12,15
2014-01,15
2014-02,17
2014-03,17
2014-04,16
2014-05,18
2014-06,14
2014-07,14
2014-08,15
2014-09,23
2014-10,21
2014-11,17
2014-12,22
2015-01,31
2015-02,26
2015-03,22
2015-04,21
2015-05,19
2015-06,20
2015-07,17
2015-08,16
2015-09,17
2015-10,19
2015-11,52
2015-12,39
2016-01,29
2016-02,23
2016-03,31
2016-04,25
2016-05,23
2016-06,28
2016-07,30
2016-08,20
2016-09,26
2016-10,24
2016-11,25
2016-12,22
2017-01,25
2017-02,29
2017-03,27
2017-04,25
2017-05,31
2017-06,37
2017-07,18
2017-08,23
2017-09,19
2017-10,34
2017-11,26
2017-12,18
2018-01,18
2018-02,19
2018-03,20
2018-04,19
2018-05,20
2018-06,14
2018-07,14
2018-08,14
2018-09,15
2018-10,18
2018-11,17
2018-12,15
2019-01,15
2019-02,20
2019-03,23
2019-04,21
2019-05,18
2019-06,14
2019-07,13
2019-08,16
2019-09,16
2019-10,15
2019-11,15
2019-12,14
2020-01,15
2020-02,15
2020-03,13
2020-04,13
2020-05,14
2020-06,19
2020-07,14
2020-08,11
2020-09,15
2020-10,15
2020-11,14
2020-12,12
2021-01,18
2021-02,13
2021-03,13
2021-04,12
2021-05,14
2021-06,11
2021-07,10
2021-08,12
2021-09,14
2021-10,12
2021-11,13
2021-12,12
2022-01,12
2022-02,15
2022-03,15
2022-04,15
2022-05,16
2022-06,13
2022-07,10
2022-08,11
2022-09,13
2022-10,13
2022-11,14
2022-12,13
2023-01,13
2023-02,14
2023-03,14
2023-04,13
2023-05,14
2023-06,11
2023-07,10
2023-08,10
2023-09,12
2023-10,18
2023-11,15
2023-12,13
2024-01,13
2024-02,13
2024-03,14
2024-04,14
2024-05,14
2024-06,11
2024-07,12
2024-08,12
2024-09,13
2024-10,14
2024-11,13
2024-12,15
