date,interest
2004-01,30
2004-02,29
2004-03,44
2004-04,41
2004-05,41
2004-06,38
2004-07,34
2004-08,35
2004-09,47
2004-10,38
2004-11,38
2004-12,27
2005-01,27
2005-02,35
2005-03,29
2005-04,25
2005-05,24
2005-06,21
2005-07,65
2005-08,26
2005-09,26
2005-10,26
2005-11,28
2005-12,24
2006-01,22
2006-02,23
2006-03,22
2006-04,20
2006-05,20
2006-06,23
2006-07,24
2006-08,37
2006-09,28
2006-10,21
2006-11,18
2006-12,18
2007-01,15
2007-02,16
2007-03,16
2007-04,16
2007-05,18
2007-06,16
2007-07,20
2007-08,15
2007-09,18
2007-10,21
2007-11,32
2007-12,31
2008-01,28
2008-02,27
2008-03,26
2008-04,24
2008-05,25
2008-06,25
2008-07,27
2008-08,25
2008-09,27
2008-10,35
2008-11,43
2008-12,40
2009-01,26
2009-02,22
2009-03,22
2009-04,23
2009-05,21
2009-06,18
2009-07,18
2009-08,19
2009-09,23
2009-10,21
2009-11,24
2009-12,29
2010-01,26
2010-02,22
2010-03,18
2010-04,19
2010-05,24
2010-06,17
2010-07,15
2010-08,19
2010-09,19
2010-10,20
2010-11,19
2010-12,19
2011-01,15
2011-02,15
2011-03,15
2011-04,16
2011-05,24
2011-06,14
2011-07,19
2011-08,14
2011-09,24
2011-10,16
2011-11,15
2011-12,16
2012-01,14
2012-02,13
2012-03,13
2012-04,13
2012-05,14
2012-06,12
2012-07,14
2012-08,14
2012-09,20
2012-10,18
2012-11,17
2012-12,15
2013-01,14
2013-02,14
2013-03,13
2013-04,37
2013-05,25
2013-06,13
2013-07,13
2013-08,16
2013-09,19
2013-10,16
2013-11,14
2013-12,22
2014-01,14
2014-02,14
2014-03,16
2014-04,14
2014-05,14
2014-06,17
2014-07,17
2014-08,22
2014-09,29
2014-10,20
2014-11,15
2014-12,27
2015-01,39
2015-02,22
2015-03,17
2015-04,17
2015-05,15
2015-06,23
2015-07,24
2015-08,18
2015-09,18
2015-10,17
2015-11,100
2015-12,40
2016-01,30
2016-02,20
2016-03,36
2016-04,21
2016-05,20
2016-06,36
2016-07,48
2016-08,20
2016-09,28
2016-10,22
2016-11,20
2016-12,24
2017-01,27
2017-02,25
2017-03,37
2017-04,24
2017-05,33
2017-06,50
2017-07,16
2017-08,30
2017-09,21
2017-10,34
2017-11,27
2017-12,19
2018-01,14
2018-02,16
2018-03,16
2018-04,16
2018-05,15
2018-06,12
2018-07,13
2018-08,14
2018-09,13
2018-10,16
2018-11,15
2018-12,13
2019-01,16
2019-02,28
2019-03,29
2019-04,19
2019-05,15
2019-06,12
2019-07,12
2019-08,15
2019-09,14
2019-10,14
2019-11,17
2019-12,15
2020-01,17
2020-02,14
2020-03,11
2020-04,13
2020-05,16
2020-06,20
2020-07,12
2020-08,12
2020-09,15
2020-10,15
2020-11,16
2020-12,12
2021-01,14
2021-02,10
2021-03,10
2021-04,10
2021-05,13
2021-06,10
2021-07,9
2021-08,17
2021-09,16
2021-10,10
2021-11,12
2021-12,9
2022-01,12
2022-02,12
2022-03,12
2022-04,12
2022-05,12
2022-06,11
2022-07,10
2022-08,11
2022-09,11
2022-10,12
2022-11,11
2022-12,11
2023-01,12
2023-02,11
2023-03,12
2023-04,11
2023-05,11
2023-06,10
2023-07,9
2023-08,9
2023-09,13
2023-10,28
2023-11,17
2023-12,13
2024-01,13
2024-02,12
2024-03,20
2024-04,15
2024-05,14
2024-06,15
2024-07,13
2024-08,15
2024-09,15
2024-10,15
2024-11,13
2024-12,15
