date,interest
2004-01,83
2004-02,100
2004-03,97
2004-04,87
2004-05,79
2004-06,68
2004-07,68
2004-08,71
2004-09,64
2004-10,70
2004-11,64
2004-12,63
2005-01,58
2005-02,60
2005-03,59
2005-04,65
2005-05,54
2005-06,51
2005-07,62
2005-08,55
2005-09,54
2005-10,66
2005-11,55
2005-12,50
2006-01,47
2006-02,52
2006-03,55
2006-04,50
2006-05,47
2006-06,38
2006-07,41
2006-08,61
2006-09,55
2006-10,59
2006-11,54
2006-12,58
2007-01,47
2007-02,52
2007-03,53
2007-04,71
2007-05,60
2007-06,58
2007-07,61
2007-08,57
2007-09,65
2007-10,57
2007-11,60
2007-12,49
2008-01,47
2008-02,54
2008-03,66
2008-04,63
2008-05,51
2008-06,48
2008-07,45
2008-08,45
2008-09,45
2008-10,51
2008-11,47
2008-12,44
2009-01,44
2009-02,45
2009-03,52
2009-04,48
2009-05,45
2009-06,43
2009-07,38
2009-08,42
2009-09,44
2009-10,43
2009-11,43
2009-12,40
2010-01,46
2010-02,50
2010-03,46
2010-04,48
2010-05,47
2010-06,37
2010-07,36
2010-08,36
2010-09,42
2010-10,50
2010-11,47
2010-12,36
2011-01,40
2011-02,47
2011-03,50
2011-04,42
2011-05,48
2011-06,35
2011-07,34
2011-08,37
2011-09,58
2011-10,40
2011-11,40
2011-12,34
2012-01,35
2012-02,39
2012-03,39
2012-04,44
2012-05,37
2012-06,31
2012-07,34
2012-08,34
2012-09,52
2012-10,45
2012-11,38
2012-12,48
2013-01,38
2013-02,39
2013-03,44
2013-04,73
2013-05,40
2013-06,34
2013-07,31
2013-08,41
2013-09,40
2013-10,37
2013-11,37
2013-12,34
2014-01,34
2014-02,40
2014-03,39
2014-04,45
2014-05,39
2014-06,33
2014-07,34
2014-08,48
2014-09,68
2014-10,53
2014-11,43
2014-12,47
2015-01,47
2015-02,55
2015-03,46
2015-04,51
2015-05,45
2015-06,42
2015-07,47
2015-08,38
2015-09,49
2015-10,58
2015-11,94
2015-12,73
2016-01,52
2016-02,53
2016-03,58
2016-04,51
2016-05,46
2016-06,48
2016-07,44
2016-08,41
2016-09,53
2016-10,57
2016-11,51
2016-12,43
2017-01,45
2017-02,49
2017-03,49
2017-04,56
2017-05,59
2017-06,44
2017-07,39
2017-08,46
2017-09,50
2017-10,51
2017-11,48
2017-12,45
2018-01,57
2018-02,68
2018-03,59
2018-04,50
2018-05,47
2018-06,41
2018-07,41
2018-08,40
2018-09,46
2018-10,54
2018-11,49
2018-12,51
2019-01,45
2019-02,54
2019-03,67
2019-04,61
2019-05,50
2019-06,45
2019-07,41
2019-08,52
2019-09,54
2019-10,51
2019-11,50
2019-12,48
2020-01,54
2020-02,50
2020-03,61
2020-04,53
2020-05,51
2020-06,51
2020-07,43
2020-08,43
2020-09,51
2020-10,49
2020-11,46
2020-12,40
2021-01,50
2021-02,44
2021-03,46
2021-04,45
2021-05,46
2021-06,41
2021-07,40
2021-08,46
2021-09,49
2021-10,51
2021-11,49
2021-12,80
2022-01,48
2022-02,66
2022-03,64
2022-04,61
2022-05,55
2022-06,54
2022-07,46
2022-08,46
2022-09,58
2022-10,61
2022-11,53
2022-12,48
2023-01,51
2023-02,58
2023-03,58
2023-04,55
2023-05,57
2023-06,48
2023-07,45
2023-08,49
2023-09,56
2023-10,74
2023-11,59
2023-12,61
2024-01,56
2024-02,69
2024-03,59
2024-04,68
2024-05,66
2024-06,48
2024-07,50
2024-08,56
2024-09,79
2024-10,67
2024-11,64
2024-12,56
