date,interest
2004-01,4
2004-02,5
2004-03,5
2004-04,5
2004-05,5
2004-06,4
2004-07,3
2004-08,3
2004-09,3
2004-10,4
2004-11,4
2004-12,3
2005-01,3
2005-02,4
2005-03,3
2005-04,3
2005-05,3
2005-06,3
2005-07,3
2005-08,2
2005-09,3
2005-10,3
2005-11,3
2005-12,3
2006-01,3
2006-02,3
2006-03,3
2006-04,3
2006-05,3
2006-06,2
2006-07,2
2006-08,2
2006-09,2
2006-10,2
2006-11,2
2006-12,2
2007-01,2
2007-02,2
2007-03,2
2007-04,2
2007-05,2
2007-06,2
2007-07,2
2007-08,2
2007-09,2
2007-10,2
2007-11,4
2007-12,3
2008-01,3
2008-02,3
2008-03,3
2008-04,3
2008-05,2
2008-06,2
2008-07,2
2008-08,2
2008-09,2
2008-10,3
2008-11,4
2008-12,4
2009-01,4
2009-02,5
2009-03,6
2009-04,7
2009-05,12
2009-06,10
2009-07,12
2009-08,13
2009-09,16
2009-10,24
2009-11,100
2009-12,58
2010-01,47
2010-02,37
2010-03,33
2010-04,27
2010-05,25
2010-06,22
2010-07,19
2010-08,18
2010-09,16
2010-10,15
2010-11,15
2010-12,13
2011-01,13
2011-02,12
2011-03,12
2011-04,12
2011-05,19
2011-06,16
2011-07,15
2011-08,16
2011-09,17
2011-10,20
2011-11,49
2011-12,25
2012-01,18
2012-02,15
2012-03,12
2012-04,11
2012-05,10
2012-06,9
2012-07,9
2012-08,8
2012-09,7
2012-10,8
2012-11,8
2012-12,8
2013-01,7
2013-02,6
2013-03,6
2013-04,5
2013-05,5
2013-06,6
2013-07,5
2013-08,5
2013-09,5
2013-10,5
2013-11,5
2013-12,5
2014-01,5
2014-02,6
2014-03,8
2014-04,6
2014-05,10
2014-06,8
2014-07,8
2014-08,11
2014-09,9
2014-10,14
2014-11,42
2014-12,23
2015-01,19
2015-02,16
2015-03,13
2015-04,11
2015-05,10
2015-06,10
2015-07,9
2015-08,9
2015-09,8
2015-10,8
2015-11,8
2015-12,8
2016-01,8
2016-02,8
2016-03,8
2016-04,7
2016-05,10
2016-06,7
2016-07,6
2016-08,6
2016-09,7
2016-10,12
2016-11,21
2016-12,14
2017-01,10
2017-02,9
2017-03,7
2017-04,7
2017-05,6
2017-06,6
2017-07,6
2017-08,5
2017-09,5
2017-10,5
2017-11,5
2017-12,5
2018-01,4
2018-02,4
2018-03,5
2018-04,4
2018-05,4
2018-06,4
2018-07,3
2018-08,3
2018-09,3
2018-10,3
2018-11,3
2018-12,3
2019-01,3
2019-02,3
2019-03,4
2019-04,4
2019-05,4
2019-06,5
2019-07,4
2019-08,7
2019-09,13
2019-10,23
2019-11,26
2019-12,19
2020-01,13
2020-02,13
2020-03,20
2020-04,23
2020-05,16
2020-06,14
2020-07,10
2020-08,11
2020-09,8
2020-10,8
2020-11,7
2020-12,7
2021-01,6
2021-02,6
2021-03,5
2021-04,6
2021-05,5
2021-06,4
2021-07,5
2021-08,4
2021-09,4
2021-10,3
2021-11,4
2021-12,4
2022-01,4
2022-02,5
2022-03,5
2022-04,5
2022-05,5
2022-06,6
2022-07,5
2022-08,5
2022-09,9
2022-10,15
2022-11,15
2022-12,9
2023-01,6
2023-02,6
2023-03,5
2023-04,5
2023-05,4
2023-06,4
2023-07,5
2023-08,6
2023-09,5
2023-10,7
2023-11,10
2023-12,7
2024-01,6
2024-02,5
2024-03,5
2024-04,8
2024-05,10
2024-06,6
2024-07,7
2024-08,7
2024-09,5
2024-10,5
2024-11,5
2024-12,5
