date,interest
2004-01,25
2004-02,21
2004-03,44
2004-04,100
2004-05,66
2004-06,32
2004-07,21
2004-08,18
2004-09,20
2004-10,27
2004-11,32
2004-12,15
2005-01,12
2005-02,12
2005-03,12
2005-04,12
2005-05,11
2005-06,9
2005-07,9
2005-08,8
2005-09,9
2005-10,10
2005-11,10
2005-12,9
2006-01,9
2006-02,9
2006-03,9
2006-04,9
2006-05,9
2006-06,7
2006-07,7
2006-08,7
2006-09,7
2006-10,8
2006-11,7
2006-12,7
2007-01,7
2007-02,7
2007-03,7
2007-04,7
2007-05,7
2007-06,6
2007-07,6
2007-08,6
2007-09,6
2007-10,7
2007-11,7
2007-12,7
2008-01,6
2008-02,7
2008-03,7
2008-04,7
2008-05,7
2008-06,6
2008-07,6
2008-08,6
2008-09,6
2008-10,7
2008-11,8
2008-12,7
2009-01,7
2009-02,7
2009-03,8
2009-04,8
2009-05,8
2009-06,7
2009-07,7
2009-08,7
2009-09,7
2009-10,8
2009-11,9
2009-12,8
2010-01,8
2010-02,8
2010-03,8
2010-04,8
2010-05,9
2010-06,7
2010-07,7
2010-08,7
2010-09,7
2010-10,8
2010-11,9
2010-12,7
2011-01,7
2011-02,7
2011-03,7
2011-04,7
2011-05,6
2011-06,6
2011-07,6
2011-08,7
2011-09,7
2011-10,7
2011-11,8
2011-12,8
2012-01,7
2012-02,7
2012-03,7
2012-04,7
2012-05,7
2012-06,7
2012-07,7
2012-08,7
2012-09,7
2012-10,7
2012-11,8
2012-12,9
2013-01,10
2013-02,8
2013-03,8
2013-04,8
2013-05,7
2013-06,7
2013-07,7
2013-08,8
2013-09,8
2013-10,6
2013-11,7
2013-12,7
2014-01,7
2014-02,6
2014-03,7
2014-04,7
2014-05,7
2014-06,6
2014-07,7
2014-08,7
2014-09,7
2014-10,7
2014-11,7
2014-12,7
2015-01,7
2015-02,7
2015-03,7
2015-04,7
2015-05,7
2015-06,7
2015-07,7
2015-08,7
2015-09,7
2015-10,6
2015-11,8
2015-12,8
2016-01,7
2016-02,6
2016-03,6
2016-04,7
2016-05,7
2016-06,7
2016-07,6
2016-08,6
2016-09,6
2016-10,6
2016-11,6
2016-12,6
2017-01,6
2017-02,6
2017-03,6
2017-04,7
2017-05,6
2017-06,5
2017-07,6
2017-08,5
2017-09,6
2017-10,6
2017-11,6
2017-12,6
2018-01,6
2018-02,7
2018-03,6
2018-04,6
2018-05,6
2018-06,5
2018-07,5
2018-08,5
2018-09,5
2018-10,5
2018-11,6
2018-12,6
2019-01,6
2019-02,6
2019-03,5
2019-04,5
2019-05,5
2019-06,5
2019-07,5
2019-08,5
2019-09,5
2019-10,5
2019-11,5
2019-12,5
2020-01,6
2020-02,5
2020-03,6
2020-04,7
2020-05,7
2020-06,6
2020-07,6
2020-08,6
2020-09,5
2020-10,5
2020-11,5
2020-12,6
2021-01,6
2021-02,5
2021-03,5
2021-04,5
2021-05,6
2021-06,5
2021-07,5
2021-08,5
2021-09,5
2021-10,5
2021-11,4
2021-12,5
2022-01,6
2022-02,10
2022-03,11
2022-04,8
2022-05,7
2022-06,6
2022-07,6
2022-08,6
2022-09,6
2022-10,6
2022-11,6
2022-12,6
2023-01,6
2023-02,7
2023-03,7
2023-04,6
2023-05,6
2023-06,6
2023-07,6
2023-08,6
2023-09,7
2023-10,7
2023-11,6
2023-12,7
2024-01,7
2024-02,7
2024-03,7
2024-04,7
2024-05,7
2024-06,8
2024-07,7
2024-08,7
2024-09,6
2024-10,6
2024-11,7
2024-12,7
